"题目","答案要点","难度","相关岗位","标签","题目类型"
"什么是层消隐距离（Layer Cull Distance）？适合解决什么问题？","在 Camera 上按 Layer 设置最远可见距离，远处小物件不再渲染；适合大量装饰物场景，减少远距 Draw Call 与 Overdraw；注意与 LOD、阴影与玩法可见性一致。","2","Unity客户端开发","综合","技术知识"
"「批处理 / 合批」在渲染管线里指什么？UI 合批常被什么打断？","一批内多物体共享相同渲染状态一次提交；UGUI 需同图集、同材质、同 Canvas 且不被 Mask/不同 Rect 等打断；字体图集与自定义图集分离常导致无法合批。","2","Unity客户端开发","UI","行为题"
"静态合批（Static Batching）的原理、优点与代价是什么？","启动时合并同材质静态网格到更大 VB，减少状态切换；可降 CPU 提交成本；代价是额外内存与包体、合并后子网格不可再独立移动。","5","Unity客户端开发","UI","场景题"
"动态合批（Dynamic Batching）的触发条件与局限有哪些？","每帧合并同材质小网格，需满足顶点属性数量等限制（具体阈值随版本文档为准）；多 Pass、不同缩放等会打断；适合少量小物体。","4","Unity客户端开发","UI","技术知识"
"动态合批与静态合批在时机、可移动性和内存上如何对比？","动态在运行时自动合并、物体可动但限制多；静态在加载时合并、物体需标记静态且不可再动；静态通常更省 CPU 提交但占更多几何内存。","1","Unity客户端开发","UI","行为题"
"请列举Unity日常开发中可落地执行的内存优化清单，结合资源规格有哪些具体措施？","Unload 不用的 AB；Destroy 实例与断开引用；贴图/网格导入设置检查；避免材质实例泛滥；Audio 压缩；场景卸载时 Resources.UnloadUnusedAssets 配合断引用。","4","Unity客户端开发","内存","行为题"
"UGUI 的 Mask 与 RectMask2D 在实现与性能上有什么差异？","Mask 用模板缓冲，通常增加额外绘制与打断合批；RectMask2D 用矩形裁剪，多数情况下不增加同等模板成本但形状受限且合批规则不同；复杂形状仍需 Mask。","1","Unity客户端开发","综合","技术知识"
"移动平台上为何常把 RGB 与 Alpha 拆成两张 ETC/PVRTC 贴图？如何采样还原？","许多移动端 GPU 对带 Alpha 的硬件压缩支持有限，RGBA 可能软件解压导致内存暴涨；拆通道后两张均可硬件解压；Shader 中主贴图采 RGB、另一张单通道写回 alpha。","5","Unity客户端开发","综合","技术知识"
"为什么通常建议关闭运行时不需要的贴图 Read/Write？","开启后 CPU 侧保留一份可读写拷贝，内存几乎翻倍；仅当需要 GetPixel/动态生成等才打开，否则关闭以省内存。","2","Unity客户端开发","综合","技术知识"
"若再次归纳 CPU 端优化清单，你会强调哪几条与项目最相关？","分帧与对象池、UI 动静分离、减少 Lua/C# 互调、Update 内零查找零分配、IL2CPP、动画与粒子预算、日志等级。","5","Unity客户端开发","综合","技术知识"
"若再次归纳 GPU 端优化清单，你会强调哪几条？","Overdraw、阴影与分辨率、LOD、带宽友好的贴图格式、Shader 复杂度、后处理次数。","5","Unity客户端开发","综合","技术知识"
"请从资源规格、代码习惯和性能工具三个维度，总结Unity内存优化检查表的关键要点？","资源：纹理/Mesh/音频/Shader 变体；代码：分配热点、容器、字符串；工具：Profiler、Memory Profiler、帧对比；流程：场景进出场 diff。","5","Unity客户端开发","内存","技术知识"
"什么是对象池？在 FPS 类玩法里哪些对象特别适合池化？","复用实例避免频繁 Instantiate/Destroy；适合子弹壳、弹道、伤害飘字、临时特效、敌人刷新点等高频短生命周期对象。","1","Unity客户端开发","综合","技术知识"
"UI 图集的主要作用是什么？与合批、热更新有什么关系？","合并小图为大图减少状态切换与内存碎片、利于合批；热更时单文件减少 HTTP 请求；合批仍需同材质同图集与深度连续等条件。","2","Unity客户端开发","综合","技术知识"
"优化 C#/Unity 脚本层性能时，你会优先改哪些写法？","Cache 组件与 Transform；禁用空 Update；CompareTag；异步加载大资源；协程节制；发布关日志；减少 SendMessage/Find；Lua 侧避免每帧大量互调。","3","Unity客户端开发","综合","技术知识"
"结合你做过的项目，如何系统推进「内存管理」优化（定位、治理、防回归）？","建立资源生命周期规范与引用计数/地址化加载；用 Profiler 与快照对比场景切换前后；治理 AB 重复、材质实例、纹理只读、配置全量驻留；防回归：资源审查清单与自动化报告。","2","Unity客户端开发","内存","项目经历深挖"
"从美术与资源管线角度，你会如何制定优化规范与工具化检查？","规范：面数、贴图尺寸、压缩、命名与变体；粒子与骨骼预算；工具：导入后处理、CI 扫描、图集与音频压缩策略；平台分档与自动降级。","4","Unity客户端开发","综合","行为题"
