题目,答案要点,难度,相关岗位,标签,题目类型
说说对Redux中间件的理解？常用的中间件有哪些？实现原理？,"Redux中间件是介于action被派发（dispatch）到reducer处理之间的扩展点，用于增强Redux的dispatch方法，能够拦截、修改、延迟、记录action，处理异步操作、日志记录、错误捕获等副作用逻辑，是Redux实现异步流和扩展功能的核心机制。中间件遵循函数式编程范式，是一个高阶函数，接收store的dispatch和getState方法，返回一个接收next的函数，再返回一个接收action的函数，形成链式调用。
常用的Redux中间件：一是redux-thunk，允许action creators返回函数而非纯对象，该函数接收dispatch和getState作为参数，可在函数内部执行异步操作（如请求数据），完成后再dispatch真正的action；二是redux-saga，通过生成器函数（Generator）处理异步流程，支持更复杂的异步逻辑（如取消请求、重试、并发），将异步逻辑与组件解耦；三是redux-logger，用于记录每一次action的派发和state的变化，方便开发调试；四是redux-promise，允许action creators返回Promise对象，当Promise resolve时自动派发对应的action；五是redux-observable，基于RxJS处理异步流，适合复杂的事件流场景。
实现原理：Redux的createStore方法接收applyMiddleware返回的 enhancer，applyMiddleware会将传入的中间件组合成一个链式调用的函数。当调用dispatch(action)时，action会先经过所有中间件的处理，每个中间件可以决定是否传递action给下一个中间件（调用next(action)），或拦截action、延迟dispatch、修改action等，最终传递到原始的dispatch方法，触发reducer更新state。核心是通过函数柯里化和组合，将多个中间件串联，形成“洋葱模型”，action从外层进入，经过每个中间件处理后，最终到达reducer，处理完成后再反向返回。",5,web前端开发,React、Redux、HTTP、const、中间件,场景题
说说你对Redux的理解？其工作原理？,"Redux是一个基于Flux架构的JavaScript状态管理库，用于管理应用的全局状态，核心思想是单一数据源、状态只读、使用纯函数修改状态，旨在解决复杂应用中状态共享、状态变更可追踪、组件间通信复杂的问题。Redux不依赖于React，可与任意前端框架结合，但常与React配合使用（通过react-redux）。
Redux的工作原理遵循单向数据流：一是Store，存储应用的唯一全局状态树，提供getState（获取状态）、dispatch（派发action）、subscribe（订阅状态变化）方法；二是Action，是描述状态变化的纯对象，必须包含type字段表示动作类型，可携带payload传递数据，由action creators创建；三是Reducer，是纯函数，接收当前state和action，根据action type返回新的state，不能修改原state，只能返回新对象，多个reducer可通过combineReducers合并；四是当组件需要修改状态时，调用dispatch方法派发action；五是Store接收到action后，将当前state和action传入reducer，reducer计算并返回新的state；六是Store更新状态后，通知所有订阅者（组件），组件重新获取state并更新视图。
整个流程是单向的：组件触发action → dispatch派发action → reducer处理action生成新state → store更新state → 组件订阅state变化并重新渲染，保证了状态变化的可预测性和可追踪性，便于调试和测试。",4,web前端开发,React、Redux、Context、DOM,技术知识
说说你对immutable的理解？如何应用在react项目中？,"Immutable（不可变数据）是指数据创建后不可被修改，若要修改数据，需创建新的副本，原数据保持不变。JavaScript中的原始类型（如字符串、数字）是不可变的，但引用类型（对象、数组）是可变的，直接修改会导致原数据变化，引发不可预测的副作用（如React组件因引用未变而未重新渲染、Redux state被意外修改）。Immutable数据的核心特性是持久化数据结构，修改操作会生成新数据，且复用原数据的未修改部分，提升性能；同时可快速判断数据是否变化（通过引用对比），无需深比较。
在React项目中应用Immutable的方式：一是使用Immutable.js库（如List、Map、Set等数据结构），将React组件的state、Redux的state替换为Immutable数据结构，修改时通过set、push等方法生成新的Immutable对象，避免直接修改原数据；二是使用Immer库，通过produce函数创建draft（草稿），在draft上直接修改，produce会返回不可变的新数据，语法更接近原生JavaScript，学习成本更低；三是在Redux中，reducer必须返回新的state，使用Immutable数据可简化reducer的编写，避免深拷贝，且通过引用对比快速判断state是否变化；四是在React组件的shouldComponentUpdate或React.memo中，直接对比Immutable数据的引用，替代深比较，提升性能；五是在useMemo/useCallback的依赖数组中，使用Immutable数据，确保依赖变化的判断准确。",2,web前端开发,React、let、const、Map,项目经历深挖
说说React Jsx转换成真实DOM过程？,"React JSX转换为真实DOM的过程分为三个核心阶段：JSX编译阶段、虚拟DOM创建阶段、真实DOM渲染阶段。
首先是JSX编译阶段：JSX本身是JavaScript的语法扩展，无法被浏览器直接识别，在构建过程中（如Babel）会将JSX编译为React.createElement函数调用。例如`<div className=""box"">Hello</div>`会被编译为React.createElement(""div"", {className: ""box""}, ""Hello"")，该函数接收元素类型（标签名/组件）、属性对象、子节点等参数，返回一个描述DOM结构的普通JavaScript对象，即虚拟DOM（Virtual DOM），包含type（元素类型）、props（属性）、children（子节点）等字段。
然后是虚拟DOM创建阶段：React.createElement执行后生成虚拟DOM树，虚拟DOM是对真实DOM的抽象描述，不依赖于浏览器环境，仅存在于内存中，相比真实DOM操作更轻量、更快。
最后是真实DOM渲染阶段：通过react-dom的render（React18前）或createRoot（React18）方法，将虚拟DOM树渲染到指定的真实DOM容器中。React会遍历虚拟DOM树，创建对应的真实DOM节点，挂载到容器中；当组件状态或props变化时，会生成新的虚拟DOM树，React通过Diff算法对比新旧虚拟DOM树的差异，计算出最小的DOM操作（如新增、删除、更新节点），然后批量执行这些操作，更新真实DOM，这个过程称为协调（Reconciliation），最终完成视图的更新。",4,web前端开发,React、Babel、class、DOM,技术知识
说说你在React项目是如何捕获错误的？,"在React项目中，错误捕获分为不同层级，核心目标是捕获渲染、事件处理、异步操作中的错误，避免应用崩溃，提升用户体验。
一是组件层级的错误捕获：使用React的错误边界（Error Boundary），即类组件中实现componentDidCatch(error, info)方法（可选getDerivedStateFromError静态方法），错误边界组件可以捕获其子组件树中（渲染、生命周期、构造函数）的错误，不会捕获自身错误、事件处理中的错误、异步操作（如setTimeout、Promise）中的错误、服务端渲染错误。在getDerivedStateFromError中返回新的state，用于显示错误备用UI；在componentDidCatch中记录错误日志（如上报到监控平台）。函数组件可通过封装类组件的错误边界，作为高阶组件或父组件包裹需要捕获错误的子组件。
二是事件处理和异步操作的错误捕获：React合成事件中的错误无法被错误边界捕获，需在事件处理函数中使用try/catch捕获；异步操作（如Promise、async/await、setTimeout）中的错误，需在Promise的catch方法、try/catch中捕获，例如使用async/await时，包裹try/catch块，捕获异步请求的错误。
三是全局错误捕获：使用window.onerror捕获全局的JavaScript运行时错误，使用window.unhandledrejection捕获未处理的Promise拒绝错误，这些全局捕获机制可作为兜底，捕获错误边界和try/catch未覆盖的错误，记录日志并提示用户。
四是第三方库和工具：结合Sentry、Fundebug等错误监控工具，集成到项目中，自动捕获并上报错误信息（包括堆栈、环境、用户信息），便于定位和修复问题；在Redux中间件中捕获异步action的错误，统一处理请求失败的逻辑。",3,web前端开发,React、class、this,项目经历深挖
说说React服务端渲染怎么做？原理是什么？,"React服务端渲染（SSR）是指在服务器端将React组件渲染为HTML字符串，发送到客户端后，客户端激活（hydrate）为可交互的React应用，核心目标是提升首屏加载速度、优化SEO。
实现步骤：一是搭建服务器环境（如Node.js + Express/Koa）；二是创建React组件（确保组件可在服务端和客户端复用，避免使用window、document等浏览器特有API）；三是在服务器端，使用react-dom/server的renderToString（React18前）或renderToPipeableStream/renderToReadableStream（React18，流式渲染）方法，将根组件渲染为HTML字符串，同时预取组件所需的数据源（如接口请求），将数据注入到HTML中（如window.__INITIAL_STATE__）；四是服务器将包含HTML字符串和初始数据的页面发送给客户端；五是客户端加载React代码后，使用react-dom的hydrateRoot（React18）方法，将服务器渲染的HTML激活为可交互的React应用，复用已有的DOM节点，绑定事件处理函数，完成客户端激活。
原理：服务端渲染的核心是“同构”，即组件代码在服务端和客户端共用，服务端负责首次渲染的HTML生成，客户端负责后续的交互和更新。服务端渲染时，React会在服务器内存中创建虚拟DOM，然后将其转换为HTML字符串，这个过程不涉及DOM事件绑定，仅生成静态HTML；客户端激活阶段，React会对比虚拟DOM和服务器生成的HTML，复用现有DOM节点，绑定事件处理函数，使静态HTML变为可交互的应用，避免客户端重新渲染整个DOM树，提升性能。此外，SSR通过预加载数据、发送完整的HTML，解决了单页应用首屏加载慢、SEO差的问题，因为搜索引擎可抓取到完整的HTML内容。",4,web前端开发,React、Express、Webpack、Babel,技术知识
React Fiber 是如何实现更新过程可控？,"React Fiber将更新过程拆分为多个独立的工作单元（Fiber节点对应一个组件的更新工作），每个工作单元可独立执行、中断、暂停、恢复或放弃，核心通过以下机制实现更新过程可控：
一是Fiber数据结构：Fiber节点是一个链表结构，包含type（组件类型）、props、state、child（子节点）、sibling（兄弟节点）、return（父节点）、effectTag（更新类型）、expirationTime/lane（优先级）等字段，每个Fiber节点对应一个工作单元，通过链表结构可实现遍历过程的中断和恢复（递归遍历改为循环遍历，可随时暂停）。
二是优先级调度：每个工作单元都有优先级（如用户输入、动画为高优先级，数据请求为低优先级），调度器（Scheduler）会根据优先级高低安排工作单元的执行顺序，高优先级的工作单元可中断低优先级的工作单元，优先执行，确保用户交互等关键操作的响应性。
三是工作循环（Work Loop）：分为调度阶段（Scheduler）和提交阶段（Commit）。调度阶段可中断，遍历Fiber树，执行每个工作单元的更新（如计算虚拟DOM差异），标记需要更新的节点（effectTag）；提交阶段不可中断，根据标记的effectTag执行真实DOM的增删改操作。调度阶段中，每执行完一个工作单元，会检查是否有更高优先级的任务，或浏览器是否有空闲时间（通过requestIdleCallback/自定义调度器），若没有则暂停，等浏览器空闲后恢复执行。
四是中断与恢复：通过保存当前执行的Fiber节点（工作单元），当需要中断时，记录当前执行位置，下次恢复时从该位置继续遍历，无需重新开始整个更新过程，实现更新过程的可控。",3,web前端开发,React、Fiber、递归、链表,技术知识
Fiber 为什么是 React 性能的一个飞跃？,"Fiber架构从根本上解决了React旧版同步更新机制的性能瓶颈，是React性能提升的核心原因：
一是解决主线程阻塞问题：旧版React的更新过程是同步递归的，当组件树庞大时，长时间的同步计算会阻塞浏览器主线程，导致用户输入、动画、页面滚动等操作卡顿。Fiber将更新拆分为可中断的小工作单元，每执行一个单元就检查浏览器的空闲状态，若有高优先级任务（如用户点击）则暂停更新，优先处理用户交互，确保应用的响应性，彻底解决了“掉帧”问题。
二是优先级调度机制：Fiber引入了任务优先级概念，不同类型的更新（如用户输入、动画、数据加载）赋予不同优先级，高优先级任务可中断低优先级任务，确保关键操作（如输入框打字、按钮点击）优先执行，提升用户体验，而旧版React所有更新无优先级区分，一律同步执行。
三是提升更新效率：Fiber的链表结构使遍历过程可中断、恢复，无需重复计算已处理的节点；同时，Fiber在调度阶段仅标记需要更新的节点，提交阶段批量执行DOM操作，减少了不必要的DOM交互，提升了更新效率。
四是为新特性奠定基础：Fiber架构支持了React的并发模式、Suspense、时间切片（Time Slicing）等新特性，这些特性进一步优化了异步渲染、数据加载的体验，使React能够更好地处理复杂应用的性能问题，是React从同步渲染迈向异步可控渲染的关键，因此成为性能的飞跃。",5,web前端开发,React、Fiber、递归、链表,技术知识
setState 是同步，还是异步的？,"React中setState的执行并非简单的同步或异步，其行为取决于调用的场景：
一是异步场景（批量更新）：在React的合成事件（如onClick、onChange）、生命周期钩子（如componentDidMount、componentWillUpdate）中，setState是异步的，React会将多个setState调用合并为一个批量更新，延迟更新state和触发组件重渲染，目的是减少DOM操作次数，提升性能。此时，调用setState后立即访问this.state，获取的仍是更新前的值，需通过setState的第二个参数（回调函数）或componentDidUpdate中访问更新后的state。
二是同步场景：在原生DOM事件（如addEventListener绑定的事件）、定时器（setTimeout/setInterval）、Promise回调、async/await等异步操作中，setState是同步的，调用后会立即更新state，且同步触发组件重渲染，此时立即访问this.state可获取更新后的值。
React18中，引入了并发渲染（Concurrent Mode），默认开启自动批量更新，即使在原生事件、定时器等场景下，setState也会被批量处理，变为异步；若需强制同步更新，可使用flushSync包裹setState调用。核心逻辑是React通过判断调用栈是否在自己的更新流程中，决定是否批量处理setState，从而控制其同步/异步行为。",2,web前端开发,React、Promise,技术知识
简述下 React 的事件代理机制？,"React的事件系统是合成事件（SyntheticEvent）机制，底层基于原生事件的事件代理实现，核心目的是统一事件处理逻辑、兼容不同浏览器、优化性能。
具体实现：一是事件绑定层面，React不会将事件直接绑定在目标DOM元素上，而是将所有合成事件的处理函数委托到根节点（React17及以后）或document（React16及以前），仅在根节点绑定一个原生事件监听器，而非每个元素都绑定，减少了内存占用和事件绑定开销；二是事件触发层面，当目标元素触发原生事件时，事件会冒泡到根节点，根节点的监听器捕获到事件后，React会创建合成事件对象（封装原生事件，提供统一的API，如stopPropagation、preventDefault，兼容不同浏览器的事件差异），然后根据虚拟DOM树的结构，找到对应的组件事件处理函数，执行该函数；三是事件池（React17前），合成事件对象会被复用，事件处理函数执行完后，合成事件的属性会被清空，避免频繁创建对象，提升性能（React17移除了事件池）。
事件代理的优势：一是减少事件绑定的数量，提升性能；二是统一处理跨浏览器的事件差异，开发者无需关注不同浏览器的事件API区别；三是配合虚拟DOM，事件处理函数与组件的关联更紧密，即使DOM结构变化，也无需重新绑定事件；四是便于实现合成事件的冒泡、捕获（React合成事件仅暴露冒泡API，但内部可模拟）等逻辑。",2,web前端开发,React、事件委托、事件冒泡,技术知识
为什么不能在循环、条件或嵌套函数中调用 Hooks？,"React Hooks的设计依赖于调用顺序的稳定性，React通过维护一个Hooks调用的链表，按顺序记录每个Hook的状态（如useState的state、useEffect的依赖），若在循环、条件或嵌套函数中调用Hooks，会导致每次组件渲染时Hooks的调用顺序不一致，破坏React对Hooks状态的追踪，引发状态错乱、更新异常等问题。
具体原因：一是React在渲染组件时，会按照Hooks的调用顺序来匹配对应的状态，例如第一次渲染时依次调用useState(A)、useState(B)，React会将A的状态存在链表第一个位置，B的状态存在第二个位置；若第二次渲染时，因条件判断跳过了useState(A)，直接调用useState(B)，React会错误地将B的状态匹配到链表第一个位置，导致状态与Hook对应关系错乱；二是循环中调用Hook，循环次数的变化会改变Hook的调用数量和顺序；嵌套函数中调用Hook，嵌套函数的执行时机不确定，也会导致Hook调用顺序不稳定。
React的规则要求：只在函数组件的顶层调用Hooks，不在循环、条件、嵌套函数中调用，确保每次渲染时Hooks的调用顺序完全一致，这样React才能正确追踪每个Hook的状态，保证Hooks的正常工作。",2,web前端开发,React、useState、Fiber、Hooks,技术知识
说说你对 useContext 的理解,"useContext是React Hooks提供的用于消费上下文（Context）的钩子，目的是简化函数组件中获取Context值的方式，替代类组件中的static contextType或Context.Consumer组件。
使用方式：首先通过React.createContext创建一个Context对象（可指定默认值），然后在父组件中通过Context.Provider提供Context的值，子组件中通过useContext(Context)直接获取最近的Provider提供的值，无需嵌套Consumer组件，简化了代码结构。
核心特性：一是useContext接收Context对象作为参数，返回该Context的当前值，当前值由离当前组件最近的Provider的value属性决定；二是当Provider的value值变化时，使用useContext的组件会自动重新渲染，即使父组件使用React.memo优化，若Context值变化，子组件仍会重渲染；三是useContext的参数必须是Context对象本身（如createContext的返回值），而非Context.Provider或Context.Consumer；四是默认值仅在组件没有匹配到任何Provider时生效，并非Provider的fallback值。
应用场景：适用于组件层级较深、跨组件传递数据的场景（如主题、语言、用户信息），避免了通过props逐层传递（props drilling），简化了组件间的状态共享，相比Context.Consumer，useContext使代码更简洁、可读性更高。",2,web前端开发,React、useState、useContext、Context,技术知识
说说你对 useMemo 的理解,"useMemo是React Hooks提供的用于缓存计算结果的钩子，核心作用是优化函数组件的性能，避免不必要的重复计算。
useMemo接收两个参数：第一个参数是一个函数，返回需要缓存的计算结果（该函数应为纯函数）；第二个参数是依赖数组，当依赖数组中的值发生变化时，useMemo会重新执行第一个参数的函数，计算新的结果并缓存；若依赖数组为空，仅在组件首次渲染时计算一次；若不传递依赖数组，每次组件渲染都会重新计算。
核心特性：一是useMemo缓存的是“计算结果”，适用于计算开销较大的场景（如复杂的数组过滤、排序、数据转换），避免每次组件渲染都重复执行这些耗时计算；二是useMemo的缓存是浅比较依赖数组中的值，若依赖是引用类型（对象、数组），需确保引用的稳定性（如使用useState、useCallback），否则会导致不必要的重新计算；三是useMemo不能替代React.memo，useMemo缓存的是计算结果，React.memo缓存的是组件渲染结果，二者结合使用可提升性能；四是useMemo的执行时机是在组件渲染期间，因此不能在useMemo中执行副作用操作（副作用应放在useEffect中）。
应用场景：当组件中有大量的计算逻辑，且计算结果仅依赖特定的变量时，使用useMemo缓存计算结果，减少重复计算；当需要将计算结果作为props传递给子组件时，使用useMemo确保引用的稳定性，避免子组件不必要的重渲染。",2,web前端开发,React、虚拟DOM、useState、useMemo,技术知识
说说你对自定义hook的理解,"自定义Hook是基于React内置Hooks封装的可复用函数，以“use”开头命名，目的是抽离组件中的通用逻辑，实现逻辑复用，使组件代码更简洁、易维护，自定义Hook可以调用其他Hook（内置或自定义），遵循React Hooks的所有规则。
核心特性：一是自定义Hook是纯函数，仅封装逻辑，不返回JSX，返回值可根据需求设计（如状态、方法、数据），不同组件使用同一个自定义Hook时，各自拥有独立的状态，不会共享状态；二是必须遵循Hooks的规则，如只能在函数组件/自定义Hook的顶层调用，不能在循环、条件中调用；三是自定义Hook的命名必须以“use”开头，这是React的约定，便于开发者识别，也便于lint工具检查Hooks规则的遵守情况；四是自定义Hook可封装任意逻辑，如数据请求、表单处理、定时器管理、本地存储、事件监听等，将组件中的通用逻辑抽离，降低耦合。
应用场景：当多个组件需要实现相同的逻辑时（如获取用户信息、监听窗口大小变化、处理表单验证），将这些逻辑封装为自定义Hook，在组件中调用即可复用逻辑，例如useRequest（封装异步请求逻辑）、useLocalStorage（封装本地存储逻辑）、useWindowSize（封装监听窗口大小逻辑）等，提升代码复用性和可维护性。",2,web前端开发,React、深拷贝、useState、闭包,技术知识
