题目,答案要点,难度,相关岗位,标签,题目类型
common.js和es6中模块引入的区别？,导出模块：；引入模块：；动态引入： require 可以在函数体内、条件语句中动态引入模块。；同步加载： require 是同步的，模块在执行 require 时会立即加载并返回结果。；导出的是值的拷贝： 但对于对象和数组等引用类型，修改引用类型的属性会在所有引用中反映出来。；静态引入： import 必须在文件的顶部声明，不能在函数体内或条件语句中使用；异步加载： 浏览器中的 ES6 模块是异步加载的，这意味着它们不会阻塞页面的其他加载过程。；导出的是值的引用： 导出值的引用意味着当导出模块中的值发生变化时，所有引用该值的地方都会反映出这些变化。；CommonJS 和 ES6 模块的互操作性： 在 Node.js 环境中，可以使用工具如 Babel 或 Webpack 将 ES6 模块转换为 CommonJS 模块，从而实现兼容性。；双向兼容： 使用工具链（如 Babel、Webpack）可以同时支持 CommonJS 和 ES6 模块语法，并在构建过程中根据目标环境进行转换。,3,web前端开发,JavaScript、Webpack、Babel、let,技术知识
说说 vue3 中的响应式设计原理,Vue 3 中的使用；实现单个值的响应式；实现多个对象的响应式；如何实现自动操作；在读取（GET 操作）数据时，自动执行 track() 函数自动收集依赖；在修改（SET 操作）数据时，自动执行 trigger() 函数执行所有副作用；在 Vue2 中，使用 ES5 的 [Object.defineProperty()](https://developer.mozilla.org/zh-CN/docs/Web/JavaScript/Reference/Global_Objects/Object/defineProperty)…；在 Vue3 中，使用 ES6 的 [Proxy](https://developer.mozilla.org/zh-CN/docs/Web/JavaScript/Reference/Global_Objects/Proxy) 和 [Reflect](https://developer.moz…；如何使用 Reflect；使用 . 操作符：leo.name ,5,web前端开发,JavaScript、响应式原理、computed、响应式,技术知识
script标签放在header里和放在body底部里有什么区别？,预加载： 浏览器在渲染页面之前，会先下载和解析所有在 <head> 部分的脚本文件；全局可用性： 一些脚本，特别是需要在页面一加载就运行的脚本，适合放在 <head> 中。；阻塞渲染： 浏览器在遇到 <script> 标签时会暂停 HTML 的解析和渲染，直到脚本下载并执行完毕；页面白屏时间延长： 用户可能会看到页面在加载过程中有一段时间的白屏，直到脚本加载完成。；非阻塞渲染： 将 <script> 标签放在 <body> 底部意味着浏览器可以优先下载和渲染 HTML 内容，这样用户可以更快地看到页面内容。；更好的用户体验： 用户不会因为等待脚本加载而长时间看到空白页面；延迟脚本执行： 如果某些脚本需要在页面加载之前运行（如某些初始化脚本），放在 <body> 底部可能会导致这些脚本运行延迟，影响功能。；<head> 部分： 适合需要立即执行的脚本，但可能阻塞页面渲染。；<body> 底部： 适合一般脚本，能提高页面加载性能和用户体验。；使用 defer 或 async： 现代浏览器支持这些属性，可以同时兼顾性能和功能需求。,3,web前端开发,JavaScript、预加载、DOM,技术知识
下面代码中，点击 “+3” 按钮后，age 的值是什么？,点击 +3 时，可能只更新为 43。；这是因为 setAge(age + 1) 即使多次调用，也不会立即更新组件状态，而是会进行合并，最终只触发一次重新渲染。；如果要实现调用三次就增加 3 ，可以将 increment 改为函数式更新：,2,web前端开发,JavaScript,技术知识
Vue中，created和mounted两个钩子之间调用时间差值受什么影响？,模板编译时间：；当实例被创建时，Vue 会编译模板（或将模板转换为渲染函数），这个过程在 created 钩子之前完成；虚拟 DOM 渲染时间：；在 mounted 钩子调用之前，Vue 会将虚拟 DOM 渲染为实际的 DOM 元素；异步操作：；如果在 created 钩子中发起了异步操作（如 API 请求），这些操作本身不会直接影响 created 和 mounted 的时间差，但如果这些操作涉及数据更新，可能会间接增加挂载时间。；浏览器性能：；浏览器的性能和设备的硬件配置也会影响模板编译和 DOM 渲染的速度，从而影响这两个钩子之间的时间差。；其他钩子执行时间：；在 beforeCreate、created、beforeMount 等钩子中执行的代码也会影响到 mounted 钩子的触发时间,4,web前端开发,JavaScript、数据绑定、DOM、编译,技术知识
vue中，推荐在哪个生命周期发起请求？,确保 DOM 已经被渲染：；mounted 钩子在组件的 DOM 已经被插入文档之后调用；避免不必要的请求：；在 created 钩子中发起请求有时会导致在组件还没有挂载时请求数据；处理组件状态：；在 mounted 钩子中发起请求，能够确保你有机会在请求开始前处理组件的状态（例如设置加载状态），并且在请求完成后更新组件的状态（例如显示数据或处理错误）。；SSR（服务器端渲染）：在服务器端渲染中，Vue 实例的 mounted 钩子不会被调用，因为 DOM 并不会被真正挂载；依赖数据初始化：如果组件在挂载之前就需要某些数据来初始化，可以在 created 钩子中发起请求，以确保数据在组件挂载时已经可用。,2,web前端开发,JavaScript、内存泄漏、SSR、DOM,技术知识
为什么Node在使用es module时必须加上文件扩展名？,"类似""use strict""，我们可以通过引入""use module""指令来解决。；通过export语句是否存在来分辨，对于本身不需要export的模块，开发者通过加入export {}（这是语法上允许的export语句，虽然啥都不导出）来标记其为es module。；引入某种新的语法来标记。",2,web前端开发,JavaScript、HTTPS、import、export,技术知识
package.json 文件中的 devDependencies 和 dependencies 对象有什么区别？,dependencies：；dependencies 是指定项目在生产环境中运行所需要的依赖项。；这些依赖项通常包括运行时需要的库、框架、工具等。；当你通过 npm install 或 npm ci 安装依赖时，默认会安装 dependencies 中的包。；这些依赖项会被打包和部署到生产环境中，因此它们对于项目的运行是必需的。；devDependencies：；devDependencies 是指定在开发过程中所需要的依赖项。；这些依赖项通常包括开发、测试、构建、部署等过程中所需的工具、库等。；例如，测试框架、构建工具、代码检查工具等通常属于 devDependencies。；当你在开发环境中使用 npm install 安装依赖时，只会安装 dependencies 中的包,2,web前端开发,JavaScript、JSON,技术知识
React Portals 有什么用？,在模态框中使用： 当你需要在应用的根 DOM 结构之外显示模态框（对话框）时，React Portals 可以帮助你将模态框的内容渲染到根 DOM 之外的地方，而不影响布局。；处理 z-index 问题： 在一些复杂的布局中，可能存在 z-index 的层级关系导致组件无法按照预期的方式叠加显示；在全局位置显示组件： 如果你希望某个组件在页面的固定位置显示，而不受父组件的定位影响，React Portals 可以将该组件渲染到 body 或其他容器中。；在动画中使用： 当你需要在页面中的某个位置执行动画时，React Portals 可以帮助你将动画的内容渲染到离该位置更近的 DOM 结构中，以提高动画性能。,3,web前端开发,JavaScript、z-index、DOM、this,技术知识
react 和 react-dom 是什么关系？,`react` 和 `react-dom` 是 React 库的两个主要部分，它们分别负责处理不同的事务：react： 这是 React 库的核心部分，包含了 React 的核心功能，如组件、状态、生命周期等；react-dom： 这是 React 专门为 DOM 环境提供的包，它包含了与浏览器 DOM 相关的功能,2,web前端开发,JavaScript、DOM、const、import,技术知识
React 中为什么不直接使用 requestIdleCallback？,一致性问题： requestIdleCallback的执行时机不是完全可控的，这可能导致在不同环境中表现不一致；实时性问题： React通常希望能够响应用户输入并立即更新UI，而requestIdleCallback执行的时机不一定能够满足实时性的需求；调度器控制： React内部有一个任务调度器，负责管理和调度任务的执行,3,web前端开发,JavaScript,技术知识
为什么 react 需要 fiber 架构，而 Vue 却不需要？,异步渲染和任务优先级： React的Fiber架构使得实现异步渲染和任务优先级变得更加容易；更好的中断和恢复机制： Fiber架构提供了一种更灵活的中断和恢复机制，允许React在渲染过程中暂停、中断，然后根据优先级恢复；增量更新： Fiber允许React实现增量更新，即只更新变化的部分而不必重新渲染整个组件树,5,web前端开发,JavaScript、Fiber、懒加载、响应式,技术知识
子组件是一个 Portal，发生点击事件能冒泡到父组件吗？,React Context：React 使用 context 来存储组件树的一些信息，比如事件处理程序；DOM 事件冒泡：DOM 中的事件（例如点击事件）通常会从触发事件的元素开始，然后逐步向上冒泡到父元素，直到 document 元素；React 的事件代理：React 使用事件代理模式将所有事件都代理到顶层（document 或者 root DOM 节点）进行处理,2,web前端开发,JavaScript、事件冒泡、代理模式、Context,技术知识
前端性能优化指标有哪些？怎么进行性能检测？,性能指标；RAIL性能模型；FCP (First Contentful Paint)；LCP (Largest Contentful Paint)；FID (First Input Delay)；TTI (Time to Interactive)；TBT (Total Block Time)；CLS (Cumulative Layout Shift)；Web Vitals；Web-Vitals,3,web前端开发,JavaScript、Canvas、HTTP、懒加载,技术知识
css 中的 animation、transition、transform 有什么区别？,animation：；animation 属性允许创建一个在指定时间内播放的动画效果，可以包括多个关键帧。；通过指定关键帧动画的名称、持续时间、动画方式（timing function）、延迟时间、播放次数等来控制动画的效果。；animation 属性可以实现更复杂的动画效果，例如循环动画、无限次播放等。；transition：；transition 属性用于指定在元素状态改变时，要以何种方式过渡到新状态。；通过指定过渡的属性、持续时间、动画方式（timing function）、延迟时间等来控制过渡效果。；transition 属性适用于元素从一种状态平滑过渡到另一种状态，例如颜色、大小、位置等属性的变化。；transform：；transform 属性用于对元素进行变形，例如平移、旋转、缩放、倾斜等。,2,web前端开发,JavaScript,技术知识
使用Promise实现红绿灯交替重复亮,"function red() {
  console.log(""red"");
}
function green() {
  console.log(""green"");
}
function yellow() {
  console.log(""yellow"");
}
const light = function (timer, cb) {
  return new Promise(resolve => {
    cb()
    setTimeout(() => {
      resolve()
    }, timer)
  })
}
const step = function () {
  Promise.resolve().then(() => {
    return light(3000, red)
  }).then(() => {
    return light(2000, green)
  }).then(() => {
    return light(1000, yellow)
  }).then(() => {
    return step()
  })
}

step();",2,web前端开发,JavaScript、Promise、const,技术知识
React 为什么要废弃 componentWillMount、componentWillReceiveProps、componentWillUpdate 这三个生命周期钩子？它们有哪些问题呢？React 又是如何解决的呢？,将 componentWillMount、componentWillReceiveProps、componentWillUpdate 三个生命周期钩子加上了 UNSAFE 前缀，变为 UNSAFE_componentWillMount、UNSAFE_componentWillReceivePr…；并引入了一个新的生命周期钩子：getDerivedStateFromProps。；删除了 componentWillMount、componentWillReceiveProps、componentWillUpdate 这三个生命周期钩子。；不过 UNSAFE_componentWillMount、UNSAFE_componentWillReceiveProps 和 UNSAFE_componentWillUpdate 还是可以用的。,2,web前端开发,JavaScript、Fiber、this,技术知识
说说React render方法的原理？在什么时候会被触发？,type：标签；attributes：标签属性，若无则为null；children：标签的子节点；类组件调用 setState 修改状态；函数组件通过useState hook修改状态；类组件重新渲染；函数组件重新渲染,2,web前端开发,JavaScript、useState、Babel、class,技术知识
什么是 DOM 和 BOM？,DOM（Document Object Model）:；DOM 是表示 HTML 和 XML 文档的标准的对象模型；DOM 以树状结构组织文档的内容，其中树的根节点是 document 对象，它代表整个文档；BOM（Browser Object Model）:；BOM 是表示浏览器窗口及其各个组件的对象模型；BOM 的核心对象是 window 对象，它表示浏览器窗口，并且是 JavaScript 中的全局对象；BOM 还提供了其他一些对象，如 navigator（提供浏览器相关信息）、location（提供当前文档的 URL 信息）、history（提供浏览器历史记录）、screen（提供屏幕信息）等。,2,web前端开发,JavaScript、DOM,技术知识
简单描述从输入网址到页面显示的过程,DNS解析；发起TCP连接；发送HTTP请求；服务器处理请求并返回HTTP报文；浏览器解析渲染页面；连接结束；DNS缓存；DNS负载均衡；第一次握手：；第二次握手：,3,web前端开发,JavaScript、三次握手、四次挥手、TCP,技术知识
SPA（单页应用）首屏加载速度慢怎么解决？,网络延时问题；资源文件体积是否过大；资源是否重复发送请求去加载了；加载脚本的时候，渲染内容堵塞了；减小入口文件积；静态资源本地缓存；UI框架按需加载；图片资源的压缩；组件重复打包；开启GZip压缩,3,web前端开发,JavaScript、Service Worker、首屏优化、localStorage,技术知识
RESTful 接口规范是什么？,资源（Resources）：将系统中的所有事物视为资源，每个资源都有一个唯一的标识符（通常是 URL），用于对其进行操作。；统一接口（Uniform Interface）：接口设计应该简单一致，包括以下几个方面：；使用标准的 HTTP 方法（GET、POST、PUT、DELETE 等）来对资源进行操作。；使用标准的 HTTP 状态码（如 200、404、500）来表示请求结果。；使用资源的 URL 来唯一标识资源。；使用适当的 MIME 类型（如 JSON、XML）来传输数据。；状态无关（Stateless）：每个请求都应该包含足够的信息，服务器不需要保存客户端的状态；客户端 - 服务器分离（Client-Server Separation）：客户端和服务器之间的交互应该通过标准化的接口进行，使得客户端和服务器可以独立地进行演化。；可缓存性（Cacheability）：对于经常不变的数据，应该使用合适的缓存机制，提高系统的性能和可伸缩性。；按需代码（Code on Demand）（可选）：服务器可以向客户端传输可执行代码，以提供更丰富的功能。,4,web前端开发,JavaScript、HTTP、RESTful、接口,技术知识
利用字符重复出现的次数，编写一种方法，实现基本的字符串压缩功能。比如，字符串aabcccccaaa会变为a2b1c5a3,下面是实现示例：,2,web前端开发,JavaScript、let,技术知识
说说new操作符具体干了什么？,new 通过构造函数 Person 创建出来的实例可以访问到构造函数中的属性；创建一个新的对象obj；将对象与构建函数通过原型链连接起来；将构建函数中的this绑定到新建的对象obj上；根据构建函数返回类型作判断，如果是原始值则被忽略，如果是返回对象，需要正常处理,3,web前端开发,JavaScript、原型链、this、let,技术知识
webpack 5 的主要升级点有哪些？,Tree-shaking 改进： Webpack 5对Tree-shaking进行了改进，提供了更好的代码优化，以便删除未使用的代码。；支持 WebAssembly（WASM）： Webpack 5 对 WebAssembly 提供了原生的支持，使得在项目中使用 WebAssembly 更加方便。；支持 ES6 模块导入（Dynamic Import）： Webpack 5对动态导入语法（import()）提供了更好的支持，可以更轻松地进行代码分割。；模块联邦（Module Federation）： 这是Webpack 5中的一项重大功能，允许将多个独立的Webpack构建连接在一起，实现模块共享，从而更好地支持微服务架构。；缓存组（Caching Groups）： 新的缓存组概念被引入，可以更细粒度地控制模块的缓存策略。；内置代码分割优化（optimization.splitChunks）： Webpack 5通过optimization.splitChunks进行了重新设计，提供了更灵活的配置选项，使得代码分割更为强大和易用。；默认配置优化： Webpack 5 默认配置中的一些…,4,web前端开发,JavaScript、模块联邦、Webpack、import,技术知识
try...catch 可以捕获到异步代码中的错误吗？,setTimeout是一个异步函数，它的回调函数会在指定的延时后被放入事件队列，等待当前执行栈清空后才执行；对于异步代码，需要结合 Promise 、async/await 或者事件监听器等机制来处理错误。,3,web前端开发,JavaScript、Promise、async/await,技术知识
需要在本地实现一个聊天室，多个tab页相互通信，不能用websocket，你会怎么做？,使用LocalStorage：这个存储API可在浏览器的不同标签页之间共享数据；使用Broadcast Channel API：Broadcast Channel API 可以在浏览器的不同上下文（包括不同的标签页）之间进行双向通信；使用SharedWorker：SharedWorker 是一种在多个浏览器上下文之间共享脚本执行的机制，它可以在不同的标签页之间进行通信,4,web前端开发,JavaScript、localStorage、WebSocket,场景题
说说你对低代码的了解,无代码：主要面向业务人员，零开发经验的业务人员通过拖拽等方式，无需编写代码，即可快速搭建各种应用；低代码：主要面向开发人员，通过自动代码生成和可视化编程，只需要少量代码，即可快速搭建各种应用；dragstart 事件；drop 事件；Mousedown 事件，在组件上按下鼠标时，记录组件当前的位置，即 css 中的 left 和 top。；Mousemove 事件，每次鼠标移动时，都用当前最新的 left 和 top 减去最开始的 left 和 top，从而计算出移动距离，再改变组件位置。；Mouseup 事件，鼠标抬起时结束移动。,2,web前端开发,JavaScript、模块化、JSON、编译,技术知识
说说WebSocket和HTTP的区别？,HTTP协议的长连接和短连接，实质上是TCP协议的长连接和短连接。；每个HTTP连接完成后，其对应的TCP连接并不是每次都会关闭；在使用长连接的情况下，当一个网页打开完成后，客户端和服务器之间用于传输HTTP数据的TCP连接不会关闭，如果客户端再次访问这个服务器上的网页，会继续使用这一条已经建立的连接；HTTP属于应用层协议，在传输层使用TCP协议，在网络层使用IP协议；即时Web应用程序：即时Web应用程序使用一个Web套接字在客户端显示数据，这些数据由后端服务器连续发送；游戏应用程序：在游戏应用程序中，你可能会注意到，服务器会持续接收数据，而不会刷新用户界面；聊天应用程序：聊天应用程序仅使用WebSocket建立一次连接，便能在订阅户之间交换，发布和广播消息,2,web前端开发,JavaScript、Cookie、keep-alive、TCP、WebSocket,技术知识
说下Vite的原理,/node_modules/；/.git/；CommonJS：现主要用于Node.js（Node@13.2.0开始支持直接使用ES Module）；AMD：require.js 依赖前置，市场存量不建议使用；CMD：sea.js 就近执行，市场存量不建议使用；ES Module：ES语言规范，标准，趋势，未来；缓慢的服务启动： 大型项目中dev server启动时间达到几十秒甚至几分钟。；缓慢的HMR热更新： 即使采用了 HMR 模式，其热更新速度也会随着应用规模的增长而显著下降，已达到性能瓶颈，无多少优化空间。,3,web前端开发,JavaScript、HTTPS、Webpack、Vite,技术知识
e.target 和 e.currentTarget 有什么区别？,第一个参数：绑定的事件名；第二个参数：执行的函数；第三个参数：；false：默认，代表冒泡时绑定；true：代表捕获时绑定；e.target：触发事件的元素；e.currentTarget：绑定事件的元素,2,web前端开发,JavaScript、const,技术知识
说说你对计算机网络模型的理解,1 七层网络模型；2 四层网络模型；3 五层网络模型；应用层 (application layer)：直接为应用进程提供服务；传输层 (transport layer)：有时也译为运输层，它负责为两台主机中的进程提供通信服务；传输控制协议 (Transmission Control Protocol，TCP)：提供面向连接的、可靠的数据传输服务，数据传输的基本单位是报文段（segment）；用户数据报协议 (User Datagram Protocol，UDP)：提供无连接的、尽最大努力的数据传输服务，但不保证数据传输的可靠性，数据传输的基本单位是用户数据报。；网络层 (internet layer)：有时也译为网际层，它负责为两台主机提供通信服务，并通过选择合适的路由将数据传递到目标主机。；数据链路层 (data link layer)：负责将网络层交下来的 IP 数据报封装成帧，并在链路的两个相邻节点间传送帧，每一帧都包含数据和必要的控制信息（如同步信息、地址信息、差错控制等）。；物理层 (physical Layer)：确保数据可以在各种物理媒介上进行传输，为数据的传输提供可靠…,3,web前端开发,JavaScript、TCP、UDP、DNS,技术知识
Map 和 Set 的用法以及区别？,Map 是一组键值对的结构，和 JSON 对象类似。；(1) Map数据结构如下；这里我们可以看到的是Map的数据结构是一个键值对的结构；(2) key 不仅可以是字符串还可以是对象,2,web前端开发,JavaScript、let、var、Map、Set,技术知识
最大子序和,"时间复杂度：O(n)，其中 n 为 nums 数组的长度；空间复杂度：O(1)；我们要维护区间的哪些信息呢？；我们如何合并这些信息呢？；lSum 表示 [l,r] 内以 l 为左端点的最大子段和；rSum 表示 [l,r] 内以 r 为右端点的最大子段和；mSum 表示 [l,r] 内的最大子段和；iSum 表示 [l,r] 的区间和；首先最好维护的是 iSum，区间 [l,r] 的 iSum 就等于「左子区间」的 iSum 加上「右子区间」的 iSum。；对于 [l,r] 的 lSum，存在两种可能，它要么等于「左子区间」的 lSum，要么等于「左子区间」的 iSum 加上「右子区间」的 lSum，二者取大。",2,web前端开发,JavaScript、动态规划、时间复杂度、空间复杂度,技术知识
说说 https 的握手过程,"https的详细握手过程：为什么是wireshark，而不是fiddler 或者 charles；为什么是用curl， 而不是在浏览器打开[<span style=""color: rgb(36,91,219); background-color: inherit"">https://www.baidu.com</span>](https://www.baidu.com/)",3,web前端开发,JavaScript、三次握手、HTTPS,技术知识
HTTP2中，多路复用的原理是什么？,HTTP/2是一个二进制协议，其基于“帧”的结构设计，改进了很多HTTP/1.1痛点问题。：一次只能处理一个请求或响应，因为这种以分隔符分割消息的数据，在完成之前不能停止解析。；解析这种数据无法预知需要多少内存，这会带给“服务端”很大的压力，因为它不知道要把一行要解析的内容读到多大的“缓冲区”中，在保证解析效率和速度的前提下：内存该如何分配？,3,web前端开发,JavaScript、HTTP,技术知识
说说你对“三次握手”、“四次挥手”的理解,"一开始，客户端和服务端都处于 CLOSED 状态；客户端会随机初始化序号（client_isn），将此序号置于 TCP 首部的「序号」字段中，同时把 SYN 标志位置为 1 ，表示 SYN 报文；服务端收到客户端的 SYN 报文后，首先服务端也随机初始化自己的序号（server_isn），将此序号填入 TCP 首部的「序号」字段中，其次把 TCP 首部的「确认应答号」字段填入 client_isn + 1, 接着把 SYN 和 ACK 标志位置为 1；客户端收到服务端报文后，还要向服务端回应最后一个应答报文，首先该应答报文 TCP 首部 ACK 标志位置为 1 ，其次「确认应答号」字段填入 server_isn + 1 ，最后把报文发送给服务端，这次报文可以携带客户到服务器的数据，之后客户端处于 ESTABLISHED 状态。；为了防止服务器端开启一些无用的连接增加服务器开销；防止已失效的连接请求报文段突然又传送到了服务端，因而产生错误。；客户端打算关闭连接，此时会发送一个 TCP 首部 FIN 标志位被置为 1 的报文，也即 FIN 报文，之后客户端进入 FIN_WAIT_1 状态…",2,web前端开发,JavaScript、三次握手、四次挥手、TCP,技术知识
如何确保你的构造函数只能被new调用，而不能被普通调用？,当作构造函数使用: new Func()；当作普通函数使用: Func()；通过 new 来调用构造函数，会生成一个新对象，并且把这个新对象绑定为调用函数的 this 。；如果普通调用函数，非严格模式 this 指向 window，严格模式指向 undefined；借助 instanceof 和 new 绑定的原理，适用于低版本浏览器；借助 new.target 属性，可与 class 配合定义抽象类；面向对象编程使用 ES6 class——最佳方案,3,web前端开发,JavaScript、原型链、this,技术知识
为什么推荐将静态资源放到cdn上？,加速网站的访问；为了实现跨运营商、跨地域的全网覆盖；为了保障你的网站安全；为了异地备援；为了节约成本投入；为了让你更专注业务本身；当用户点击网站页面上的内容URL，经过本地DNS系统解析，DNS系统会最终将域名的解析权交给CNAME指向的CDN专用DNS服务器。；CDN的DNS服务器将CDN的全局负载均衡设备IP地址返回用户。；用户向CDN的全局负载均衡设备发起内容URL访问请求。；CDN全局负载均衡设备根据用户IP地址，以及用户请求的内容URL，选择一台用户所属区域的区域负载均衡设备，告诉用户向这台设备发起请求。,3,web前端开发,JavaScript、接口、缓存,技术知识
说说React事件和原生事件的执行顺序,"在传统的事件里，不同的浏览器需要兼容不同的写法，在合成事件中React提供统一的事件对象，抹平了浏览器的兼容性差异；React通过顶层监听的形式，通过事件委托的方式来统一管理所有的事件，可以在事件上区分事件优先级，优化用户体验；原生事件和合成事件的执行顺序是什么？；合成事件在什么阶段下会被执行？；阻止原生事件的冒泡，会影响到合成事件的执行吗？；阻止合成事件的冒泡，会影响到原生事件的执行吗？；16版本先执行原生事件，当冒泡到document时，统一执行合成事件；17版本在原生事件执行前先执行合成事件捕获阶段，原生事件执行完毕执行冒泡阶段的合成事件,通过根节点来管理所有的事件",2,web前端开发,JavaScript、事件委托、useEffect、useRef,技术知识
Vue2.0为什么不能检查数组的变化，该怎么解决？,"无法检测数组/对象的新增；无法检测通过索引改变数组的操作。；无法检测数组/对象的新增？；无法检测通过索引改变数组的操作；this.$set(array, index, data)；splice；利用临时变量进行中转；this.$set(obj, key ,value) - 可实现增、改；watch时添加deep：true深度监听，只能监听到属性值的变化，新增、删除属性无法监听；watch时直接监听某个key",2,web前端开发,JavaScript、Object.defineProperty、Proxy、HTTPS,技术知识
说说Vue 页面渲染流程,在 Vue 核心中除了响应式原理外，视图渲染也是重中之重；本文主要解析的是初始化视图渲染流程，你将会了解到从挂载组件开始，Vue 是如何构建 VNode，又是如何将 VNode 转为真实节点并挂载到页面。；挂载组件($mount)；Vue 是一个构造函数，通过 new 关键字进行实例化。,4,web前端开发,JavaScript、响应式原理、watch、响应式,技术知识
