题目,答案要点,难度,相关岗位,标签,题目类型
导入贴图时 Texture Type 选 Texture 与选 Sprite 有什么区别？,Sprite作为UI精灵使用，Texture作用模型贴图使用。,1,Unity客户端开发,综合,技术知识
不同屏幕分辨率下，如何让 UGUI 布局保持一致、不乱版？,多屏幕分辨率下的UI布局一般考虑两个问题： 1. 布局元素的位置，即屏幕分辨率变化的情况下，布局元素的位置可能固定不动，导致布局元素可能超出边界；2. 布局元素的尺寸，即在屏幕分辨率变化的情况下，布局元素的大小尺寸可能会固定不变，导致布局元素之间出现重叠等功能。为了解决这两个问题，在Unity UGUI体系中有两个组件可以来解决问题，分别是布局元素的Rect Transform和Canvas的Canvas Scaler组件。CanvasScaler中UI Scale Mode有三种模式，Constant Pixel Size、Scale With Screen Size、Constant Physical Size，其中第二个就是根据屏幕分辨率来进行缩放适配。在这个模式下，有两个参数，一个是我们在开发过程中的标准分辨率，一个是屏幕的匹配模式，通过这里面的设置，就可以完成多分辨率下的适配问题。,2,Unity客户端开发,综合,技术知识
UGUI 里 Canvas 的三种渲染模式分别是什么？Canvas Scaler 的 UI Scale Mode 有哪些？,渲染模式：Screen Space Overlay（全屏叠加，常可不绑相机）、Screen Space Camera（由指定相机绘制，便于与 3D 深度排序）、World Space（场景内 3D UI，如血条）。Canvas Scaler 常用 Scale With Screen Size 按参考分辨率适配；Constant Pixel Size 固定逻辑像素；Constant Physical Size 按物理尺寸。手游 UI 多选 Scale With Screen Size，并配合锚点与安全区。,3,Unity客户端开发,综合,技术知识
Unity 中 Avatar 的作用是什么？和 Humanoid 动画重定向有什么关系？,用户提供的模型骨架和Unity的骨架结构进行适配，是一种骨架映射关系。 方便动画的重定向 AnimationType有三种类型 Humanoid人型：可以动画重定向，游戏对象挂载animator，子类原始模型+重定向模型，设置原始模型和使用模型的AnimationType为Humanoid类型 Generic非人型 Legacy旧版 Avatar Mask身体遮罩，身体某一部分是否受到动画影响 反向动力学 IK，通过手或脚来控制身体其他部分,2,Unity客户端开发,综合,技术知识
Legacy Animation 组件里的 CrossFade 是做什么的？,Legacy Animation 组件上的交叉淡入淡出：在指定时长内平滑过渡到目标动画，同时淡出其他正在播放的动画，用于减少动作切换时的跳变。,2,Unity客户端开发,综合,技术知识
请列举并说明 Legacy Animation 组件常用的若干 API（如 Play、CrossFade、Blend 等）？,AddClip 将 clip 添加到名称为 newName 的动画中。 Blend 在后续 time 秒中将名称为 animation 的动画向 targetWeight 混合。 CrossFade 在后续 time 秒的时间段内，使名称为 animation 的动画淡入，使其他动画淡出。 CrossFadeQueued 使动画在上一个动画播放完成后交叉淡入淡出。 IsPlaying 名称为 name 的动画是否正在播放？ PlayQueued 在先前的动画播放完毕后再播放动画。 RemoveClip 从动画列表中移除剪辑。 Sample 对当前状态的动画进行采样。 Stop 停止所有使用该动画启动的正在播放的动画。,2,Unity客户端开发,综合,技术知识
Skinned Mesh 动画的大致实现思路是什么？,SkinnedMesh蒙皮网格动画 分为骨骼和蒙皮两部分 骨骼是一个层次结构，存储了骨骼的Transform数据 蒙皮是mesh顶点附着在骨骼之上，顶点可以被多个骨骼影响，决定了其权重等， 还有将顶点从Mesh空间变换到骨骼空间~,3,Unity客户端开发,综合,技术知识
Animation 组件与 Animator（动画状态机）有什么区别？,Animation和Animator 虽然都是控制动画的播放，但是它们的用法和相关语法都是大有不同的。Animation控制一个动画的播放，而Animator是多个动画之间相互切换，并且Animator有一个动画控制器，俗称动画状态机。 Animator利用它做动画的切换是很方便的，但是它有一个缺点就是占用内存比Animation大。,1,Unity客户端开发,动画,技术知识
请简述进程、线程、协程各自是什么，以及它们的关系？,进程 保存在硬盘上的程序运行以后，会在内存空间里形成一个独立的内存体，这个内存体有自己独立的地址空间，有自己的堆，不同进程间可以进行进程间通信，上级挂靠单位是操作系统。一个应用程序相当于一个进程，操作系统会以进程为单位，分配系统资源（CPU 时间片、内存等资源），进程是资源分配的最小单位。线程 线程从属于进程，也被称为轻量级进程，是程序的实际执行者。线程是操作系统能够进行运算调度的最小单位。它被包含在进程之中，是进程中的实际运作单位。,2,Unity客户端开发,协程,场景题
Unity 中协程（Coroutine）主要用来解决什么问题？,在Unity中只有主线程才能访问Unity的对象、方法、组件。当主线程在执行一个对资源消耗很大的操作时，在这一帧我们的程序就会出现帧率下降，画面卡顿的现象! 那这个时候我们就可以利用协程来做这件事，因为协程是伴随着主线程运行的，主线程依旧可以丝滑轻松的工作，把脏活累活交给协程处理就好了！简单来说：协程是辅助主线程的操作，避免游戏卡顿。,1,Unity客户端开发,协程,技术知识
Unity 协程在实现层面大致是如何工作的？,协程是通过迭代器来实现功能的，通过关键字IEnumerator来定义一个迭代方法。StartCoroutine 接受到的是一个 IEnumerator ，这是个接口，并且是枚举器或迭代器的意思。yield 是 C 的一个关键字，也是一个语法糖，背后的原理会生成一个类，并且也是一个枚举器，而且不同于 return，yield 可以出现多次。yield 实际上就是返回一次结果，因为我们要一次一次枚举一个值出来，所以多个 yield 其实是个状态模式，第一个 yield 是状态 1，第二个 yield 是状态 2，每次访问时会基于状态知道当前应该执行哪一个 yield，取得哪一个值。从程序的角度讲，协程的核心就是迭代器。,4,Unity客户端开发,协程,技术知识
操作系统线程与 Unity 协程有什么本质区别？,协程：即协作式程序，其思想是，一系列互相依赖的协程间依次使用CPU，每次只有一个协程工作，而其他协程处于休眠状态。协程实际上是在一个线程中，只不过每个协程对CPU进行分时，协程可以访问和使用unity的所有方法和component。同一时间只能执行某个协程。开辟多个协程开销不大。协程适合对某任务进行分时处理。,4,Unity客户端开发,协程,行为题
Unity 中如何启动和停止协程？协程适合做什么？有什么局限？,代码语言： JavaScript 启动协程 1. Startcoroutine(string methodName)：通过协程的方法名(字符串形式)启动。2. StartCoroutine(string methodName，object values)：带参数的通过方法名(字符串形式)进行调用。3. Startcoroutine(IEnumerator routine)：通过调用方法的形式启动。停止协程 1. stopcoroutine (string methodName)：通过方法名（字符串）来关闭协程。2. stopCoroutine(IEnumerator routine)：通过调用方法的形式来关闭协程。,3,Unity客户端开发,综合,技术知识
在不同 Unity 工程之间迁移资源时，怎样做比较安全？常见做法有哪些？,连同 Library 一起拷贝工程；导出 UnityPackage；或使用版本控制只提交 Assets 与 ProjectSettings（团队规范下）；旧版还可借助 Asset Server。注意 .meta 与 GUID 成对提交，避免引用丢失。,2,Unity客户端开发,综合,技术知识
PlayerPrefs 如何读写整型？还支持哪些数据类型？适用场景是什么？,本地键值持久化，常用 SetInt/GetInt；另有 SetFloat/GetFloat、SetString/GetString。适合少量设置项，不适合存档大量结构化数据；修改后可调用 PlayerPrefs.Save()（部分平台）。,2,Unity客户端开发,综合,技术知识
ScriptableObject 是什么？一般在哪些场景下使用？,ScriptableObject是一个数据容器，它可以用来保存大量数据。主要的用处就是在项目中通过将数据存储在ScriptableObject对象，避免值拷贝来减少游戏运行中的内存占用。当你有一个预制体，上面挂了一个存有不变数据的MonoBehaviour 脚本时，每次我们实例化预制体时都将产生一次数据拷贝，这时我们可以使用ScriptableObject对象来存储数据，然后通过引用来访问预制体中的数据。这样可以避免在内存中产生一份拷贝数据。与MonoBehaviour 一样，ScriptableObject也继承自Unity基类object，但是与MonoBehaviour不同的是，ScriptableObject不能和GameObject 关联，相反，通常我们会将它保存为Assets资源。,3,Unity客户端开发,综合,技术知识
C# 中重载（overload）与重写（override）有什么区别？,封装、继承、多态所处位置不同，重载在同类中，重写在父子类中。 定义方式不同，重载方法名相同参数列表不同，重写方法名和参数列表都相同。 调用方式不同，重载使用相同对象以不同参数调用，重写用不同对象以相同参数调用。 多态时机不同，重载时编译时多态，重写是运行时多态。,1,Unity客户端开发,综合,场景题
面向对象的三大特性是什么？请简要说明？,继承： 提高代码重用度，增强软件可维护性的重要手段，符合开闭原则。继承最主要的作用就是把子类的公共属性集合起来，便与共同管理，使用起来也更加方便。你既然使用了继承，那代表着你认同子类都有一些共同的特性，所以你把这些共同的特性提取出来设置为父类。继承的传递性：传递机制 a▶b; b▶c; c具有a的特性 。继承的单根性：在C 中一个类只能继承一个类，不能有多个父类。,3,Unity客户端开发,综合,技术知识
值类型与引用类型在内存与赋值语义上有什么区别？,值类型 ：包含了所有简单类型（整数、浮点、bool、char）、struct、enum。继承自System.ValueType 引用类型 包含了string，object，class，interface，delegate，array 继承自System.Object 值类型存储在内存栈中，引用类型数据存储在内存堆中，而内存单元中存放的是堆中存放的地址。值类型存取快，引用类型存取慢。值类型表示实际数据，引用类型表示指向存储在内存堆中的数据的指针和引用。栈的内存是自动释放的，堆内存是.NET 中会由 GC 来自动释放。,3,Unity客户端开发,综合,技术知识
C# 中 private、public、protected、internal 的可见性有什么区别？,public：对任何类和成员都公开，无限制访问 private：仅对该类公开 protected：对该类和其派生类公开 internal：只能在包含该类的程序集中访问该类 protected internal：protected + internal,1,Unity客户端开发,综合,技术知识
ArrayList 与 List<T> 有什么主要区别？,ArrayList 不带泛型 数据类型丢失 List 带泛型 数据类型不丢失 ArrayList 需要装箱拆箱 List不需要 ArrayList存在不安全类型（ArrayList会把所有插 ⼊其中的数据都当做Object来处理）装箱拆箱的 操作（费时）IList是接⼝，ArrayList是⼀个实现了 该接⼝的类，可以被实例化 List类是ArrayList类的泛型等效类。它的大部分用法都与ArrayList相似，因为List类也继承了IList接口。最关键的区别在于，在声明List集合时，我们同时需要为其声明List集合内数据的对象类型。,1,Unity客户端开发,综合,技术知识
接口（interface）与抽象类（abstract class）有什么不同？,接口不是类 不能实例化 抽象类可以间接实例化 接口是完全抽象 抽象类为部分抽象 接口可以多继承 抽象类是单继承,2,Unity客户端开发,接口与抽象类,技术知识
C# 中 sealed 修饰类和方法时分别起什么作用？,类声明时可防止其他类继承此类，在方法中声明则可防止派生类重写此方法。,1,Unity客户端开发,综合,场景题
C# 反射的基本原理是什么？常用哪些类型？,可以在加载程序运行时，动态获取和加载程序集，并且可以获取到程序集的信息反射即在运行期动态获取类、对象、方法、对象数据等的一种重要手段 主要使用的类库：System.Reflection 核心类： Assembly描述了程序集 Type描述了类这种类型 ConstructorInfo描述了构造函数 MethodInfo描述了所有的方法 FieldInfo描述了类的字段 PropertyInfo描述类的属性 通过以上核心类可在运行时动态获取程序集中的类，并执行类构造产生类对象，动态获取对象的字段或属性值，更可以动态执行类方法和实例方法等。,4,Unity客户端开发,综合,项目经历深挖
.NET 与 Mono 是什么关系？对 Unity 有什么意义？,.Net是一个语言平台，Mono为.Net提供集成开发环境，集成并实现了.NET的编译器、CLR 和基础类库，使得.Net既可以运行在windows也可以运行于 linux，Unix，Mac OS 等。,2,Unity客户端开发,综合,行为题
在构造函数前加 static 会怎样？静态构造函数有什么规则？,实例构造函数不能声明为 static；static 构造函数用于类型初始化，无访问修饰符、无参数，在首次访问类型成员前由 CLR 调用一次，不能用 this/base 调用实例构造。,2,Unity客户端开发,综合,技术知识
C# 中常见的值类型有哪些？,简单值类型：包括 整数类型、实数类型、字符类型、布尔类型 复合值类型：包括 结构类型、枚举类型,1,Unity客户端开发,综合,场景题
for、foreach 与 IEnumerator.MoveNext 遍历有何区别？Unity 里为何常提醒慎用 foreach？,三者都能遍历集合；foreach 在旧版 Unity/C# 上对部分集合会产生 GC（分配枚举器），热点路径（如 Update）中更推荐 for 或缓存枚举。MoveNext 需手写迭代，可控性高。,1,Unity客户端开发,内存,行为题
频繁用 string += 拼接会产生什么问题？更好的做法是什么？,使用 StringBuilder.Append 拼接，这样可以减少内存垃圾,2,Unity客户端开发,内存,场景题
需要频繁创建/销毁同一类对象时，有什么节省内存的常见设计？,使用对象池（Object Pool）：预分配或复用实例，避免频繁 Instantiate/Destroy 带来的堆分配与 GC；对相同预制体配合池化与重置逻辑；必要时结合 ScriptableObject 存共享配置以减少重复数据拷贝。,2,Unity客户端开发,内存,技术知识
JIT 与 AOT 分别指什么？主要区别是什么？,Just In Time 实时编译 执行慢安装快占空间小一点 Ahead Of Time 预先编译 执行快安装慢占内存占外存大,1,Unity客户端开发,综合,技术知识
在 C# 中如何对数组或列表元素排序？,可用 Array.Sort(arr) 原地排序；List<T> 用 Sort() 或 Sort(Comparison)。注意引用类型与值类型的比较器；大数据量或需稳定顺序时考虑 LINQ OrderBy（会分配）或自实现算法。,2,Unity客户端开发,综合,场景题
若 `GameObject b = a` 后销毁 b，引用 a 指向的对象是否还在？,存在，b删除只是将它在栈中的内存删除，而A对象本身是在堆中，所以A还存在,2,Unity客户端开发,综合,技术知识
C# 中结构体（struct）与类（class）有什么主要区别？,结构体是一种值类型，而类是引用类型。(值类型、引用类型是根据数据存储的⻆度来分的)就是值类型用于存储数据的值，引用类型用于存储对实际数据的引用。 那么结构体就是当成值来使用的，类则通过引用来对实际数据操作,1,Unity客户端开发,综合,项目经历深挖
堆（heap）与栈（stack）在内存分配与生命周期上有什么区别？,通常保存着我们代码执行的步骤，如在代码段1中 AddFive()方法，int pValue变量，int result变量等等。 而堆上存放的则多是对象，数据等。(译者注:忽略编 译器优化)我们可以把栈想象成一个接着一个叠放在 一起的盒子。当我们使用的时候，每次从最顶部取走 一个盒子。栈也是如此，当一个方法(或类型)被调 用完成的时候，就从栈顶取走(called a Frame，译 注:调用帧)，接着下一个。堆则不然，像是一个仓 库，储存着我们使用的各种对象等信息，跟栈不同的 是他们被调用完毕不会立即被清理掉。,1,Unity客户端开发,内存,技术知识
Heap 与 Stack 有什么区别？,heap是堆，stack是栈。 stack的空间由操作系统自 动分配和释放，heap的空间是手动申请和释放的， heap常用new关键字来分配。 stack空间有限，heap 的空间是很大的自由区。,1,Unity客户端开发,综合,技术知识
单元测试中 Mock 与 Stub 有什么区别？,Mock与Stub的区别:Mock:关注行为验证。细粒度的 测试，即代码的逻辑，多数情况下用于单元测试。 Stub:关注状态验证。粗粒度的测试，在某个依赖系 统不存在或者还没实现或者难以测试的情况下使用， 例如访问文件系统，数据库连接，远程协议等。,1,Unity客户端开发,综合,技术知识
在需要大量字符集时，动态字体相对静态字体有什么优势？,Unicode是国际组织制定的可以容纳世界上所有⽂字和符号的字符编码⽅案。 使⽤动态字体时，Unity将不会预先⽣成⼀个与所有字体的字符纹理。 当需要⽀持亚洲语⾔或者较⼤的字体的时候，若使⽤正常纹理，则字体的纹理将⾮常⼤。,2,Unity客户端开发,综合,项目经历深挖
C# 中 String 与 StringBuilder 有什么区别？何时用 StringBuilder？,String是字符串常量。StringBuffer是字符串变量 ，线程安全。StringBuilder是字符串变量，线程不安全。 String类型是个不可变的对象，当每次对String进⾏改变时都需要⽣成⼀个新的String对象，然后将指针指向⼀个新的对象，如果在⼀个循环⾥⾯，不断的改变⼀个对象，就要不断的⽣成新的对象，所以效率很低，建议在不断更改String对象的地⽅不要使⽤String类型。 StringBuilder对象在做字符串连接操作时是在原来的字符串上进⾏修改，改善了性能。这⼀点我们平时使⽤中也许都知道，连接操作频繁的时候，使⽤StringBuilder对象。,1,Unity客户端开发,综合,技术知识
C# 中 string、StringBuilder 与 Java StringBuffer 概念上如何对应？,String 不变性，字符序列不可变，对原管理中实例对象赋值，会重新开一个新的实例对象赋值，新开的实例对象会等待被GC。string拼接要重新开辟空间，因为string原值不会改变，导致GC频繁，性能消耗大 StringBuffer 是字符串可变对象，可通过自带的StringBuffer.方法来改变并生成想要的字符串。对原实例对象做拼接的实例，不会生成新的实例对象。拼接使用StringBuilder和StringBuffer，只开辟一个内存空间，这是性能优化的点。StringBuilder 是字符串可变对象，基本和StringBuilder相同。,4,Unity客户端开发,综合,技术知识
"Dictionary<TKey,TValue> 内部大致如何实现？查找复杂度如何？",泛型集合命名空间using System.Collections.Generic; 任何键都必须是唯一 该类最大的优点就是它查找元素的时间复杂度接近O(1)，实际项目中常被用来做一些数据的本地缓存，提升整体效率。 实现原理 哈希算法：将不定长度的二进制数据集给映射到一个较短的二进制长度数据集一个Key通过HashFunc得到HashCode Hash桶算法：对HashCode进行分段显示，常用方法是对HashCode直接取余 解决碰撞冲突算法（拉链法）：分段会导致key对应的桶会相同，拉链法的思想就像对冲突的元素，建立一个单链表，头指针存储到对应的哈希桶位置。反之就是通过确定hash桶位置后，遍历单链表，获取对应的value,4,Unity客户端开发,数据结构,技术知识
C# 泛型是什么？能带来哪些好处？,多个代码对 【不同数据类型】 执行 【相同指令】的情况 泛型：多个类型共享一组代码 泛型允许类型参数化，泛型类型是类型的模板 5种泛型：类、结构、接口、委托、方法 类型占位符 T 来表示泛型 泛型类不是实际的类，而是类的模板 从泛型类型创建实例 声明泛型类型》通过提供【真实类型】创建构造函数类型》从构造类型创建实例 类 泛型类型参数 性能 ：泛型不会强行对值类型进行装箱和拆箱，或对引用类型进行向下强制类型转换，所以性能得到提高 安全 ：通过知道使用泛型定义的变量的类型限制，编译器可以在一定程度上验证类型假设，所以泛型提高了程序的类型安全。,2,Unity客户端开发,综合,技术知识
Mathf.Round、Mathf.Clamp、Mathf.Lerp 分别做什么？,Mathf.Round：四舍五入 Mathf.Clamp：左右限值 Mathf.Lerp：插值,2,Unity客户端开发,综合,技术知识
C# 反射的基本原理是什么？常用哪些类型？,可以在加载程序运行时，动态获取和加载程序集，并且可以获取到程序集的信息反射即在运行期动态获取类、对象、方法、对象数据等的一种重要手段 主要使用的类库：System.Reflection 核心类： Assembly描述了程序集 Type描述了类这种类型 ConstructorInfo描述了构造函数 MethodInfo描述了所有的方法 FieldInfo描述了类的字段 PropertyInfo描述类的属性 通过以上核心类可在运行时动态获取程序集中的类，并执行类构造产生类对象，动态获取对象的字段或属性值，更可以动态执行类方法和实例方法等。审查元数据并收集关于它的类型信息的能⼒。,5,Unity客户端开发,综合,技术知识
下面这段在遍历集合时修改集合的代码会有什么问题？如何避免？,"List int ls = new List int ( new int [ ] { 1 , 2 , 3 , 4 , 5 } ) ; foreach ( int item in ls ) { Console . WriteLine ( item item ) ; ls . Remove ( item ) ; } 会产⽣运⾏时错误，因为foreach是只读的。不能⼀边遍历⼀边修改。 使用For循环遍历可以解决。",2,Unity客户端开发,综合,技术知识
什么是装箱与拆箱？如何减少这类开销？,C 装箱是将值类型转换为引用类型； 拆箱是将引用类型转换为值类型。 牵扯到装箱和拆箱操作比较多的就是在集合中，例如：ArrayList或者HashTable之类。,1,Unity客户端开发,综合,行为题
UGUI 中 Image 与 RawImage 有什么区别？各自适合哪些场景？,Image 使用 Sprite，支持九宫格/平铺等 Image Type，适合交互与样式丰富的 UI；RawImage 直接引用 Texture，适合视频帧、RenderTexture、动态图等。一般界面控件多用 Image，简单贴图展示可用 RawImage；同屏大量 UI 时注意合批与图集策略。,1,Unity客户端开发,UI,项目经历深挖
Unity 中碰撞体与触发器模式有什么区别？,碰撞器是触发器的载体，而触发器只是碰撞器身上的一个属性。 当Is Trigger=false时，碰撞器根据物理引擎引发碰撞，产生碰撞的效果，可以调用OnCollisionEnter/Stay/Exit函数； 当Is Trigger=true时，碰撞器被物理引擎所忽略，没有碰撞效果，可以调用OnTriggerEnter/Stay/Exit函数。 如果既要检测到物体的接触又不想让碰撞检测影响物体移动或要检测一个物件是否经过空间中的某个区域这时就可以用到触发器。,1,Unity客户端开发,物理,技术知识
Unity 中两个物体发生物理碰撞需要满足哪些条件？,两个物体都必须带有碰撞器Collider，其中一个物体还必须带有Rigidbody刚体。,2,Unity客户端开发,物理,场景题
四元数用于表示旋转时相对欧拉角有什么优势？,四元数用于表示旋转 相对欧拉角的优点：能进行增量旋转、避免万向锁、给定方位的表达方式有两种，互为负（欧拉角有无数种表达方式）,1,Unity客户端开发,综合,技术知识
在不同 Unity 工程之间迁移资源时，怎样做比较安全？常见做法有哪些？,连同 Library 一起拷贝工程；导出 UnityPackage；或使用版本控制只提交 Assets 与 ProjectSettings（团队规范下）；旧版还可借助 Asset Server。注意 .meta 与 GUID 成对提交，避免引用丢失。,2,Unity客户端开发,综合,技术知识
Awake、OnEnable、Start 的大致执行顺序是什么？哪些回调可能在同一对象生命周期内反复触发？,Awake– OnEnable Start OnEnable在同一周期中可以反复地发生!,2,Unity客户端开发,综合,技术知识
MeshRenderer 的 material 与 sharedMaterial 有什么区别？,修改sharedMaterial将改变所有物体使用这个材质的外观，并且也改变储存在工程里的材质设置。 不推荐修改由sharedMaterial返回的材质。如果你想修改渲染器的材质，使用material替代。,1,Unity客户端开发,综合,项目经历深挖
TCP/IP 协议栈分为哪几层？各层主要做什么？,网络接口层：这是协议栈的最低层，对应OSI的物理层和数据链路层，主要完成数据帧的实际发送和接收。 网络层：处理分组在网络中的活动，例如路由选择和转发等，这一层主要包括IP协议、ARP、ICMP协议等。 传输层：主要功能是提供应用程序之间的通信，这一层主要是TCP/UDP协议。 应用层：用来处理特定的应用，针对不同的应用提供了不同的协议，例如进行文件传输时用到的FTP协议，发送email用到的SMTP等。,2,Unity客户端开发,内存,技术知识
Unity 内置常见光源类型有哪些？,四种。 平行光：Directional Light 点光源：Point Light 聚光灯：Spot Light 区域光源：Area Light,2,Unity客户端开发,综合,技术知识
什么是对象池？FPS 里哪些对象特别适合池化？,对象池就存放需要被反复调用资源的一个空间 比如游戏中要常被大量复制的对象，子弹，敌人，以及任何重复出现的对象。 特点 ：用内存换取cpu的优化,1,Unity客户端开发,综合,技术知识
相机跟随逻辑通常写在哪个生命周期函数里？为什么？,LateUpdate ，是在所有的Update结束后才调用，比较适合用于命令脚本的执行。 官网上例子是摄像机的跟随，都是所有的Update操作完才进行摄像机的跟进，不然就有可能出现摄像机已经推进了，但是视角里还未有角色的空帧出现。,2,Unity客户端开发,综合,技术知识
请简述 GPU 图形渲染管线的主要阶段？,简而言之，GPU的图形（处理）流水线完成如下的工作：（并不一定是按照如下顺序）。顶点处理 ：这阶段GPU读取描述3D图形外观的顶点数据并根据顶点数据确定3D图形的形状及位置关系，建立起3D图形的骨架。在支持DX8和DX9规格的GPU中，这些工作由硬件实现的Vertex Shader（顶点着色器）完成。光栅化计算 ：显示器实际显示的图像是由像素组成的，我们需要将上面生成的图形上的点和线通过一定的算法转换到相应的像素点。把一个矢量图形转换为一系列像素点的过程就称为光栅化。,5,Unity客户端开发,综合,技术知识
使用 Unity 制作 2D 游戏常见有哪几种思路？,使用本身的GUI、UGUI 把摄像机的Projection(投影)值调为Orthographic(正交投影)，不考虑z轴； 使用2d插件，如：2DToolKit、NGUI,2,Unity客户端开发,综合,技术知识
碰撞持续期间会经历哪几个阶段？分别对应哪些回调函数？,OnCollisionEnter、 OnCollisionStay、 OnCollisionExit,2,Unity客户端开发,物理,技术知识
Unity 物理系统里的「链条关节」通常指什么？,Unity 中对应名称多为 Hinge Joint（铰链关节）：绕轴相对旋转，常用来模拟门、铰链等；若题目指「链条」式距离约束，更接近 Configurable Joint 等组合，而非 Hinge 的字面直译。,2,Unity客户端开发,综合,技术知识
在代码里如何让物体绕自身旋转？,transform.Rotate；或赋值 localRotation/rotation（Quaternion）。,2,Unity客户端开发,综合,场景题
PlayerPrefs 读写 int 常用哪些 API？,PlayerPrefs.SetInt()、 PlayerPrefs.GetInt(),2,Unity客户端开发,综合,场景题
Unity MonoBehaviour 常见生命周期函数有哪些？大致顺序是什么？,Awake—— Start—— Update—— FixedUpdate—— LateUpdate—— OnGUI—— OnDisable—— OnDestroy 主要执行顺序 编辑器 初始化 物理系统 输入事件 游戏逻辑 场景渲染 GUI渲染 物体激活或禁用 销毁物体 应用结束 主要函数介绍 Reset 是在用户点击检视面板的Reset按钮或者首次添加该组件时被调用。此函数只在编辑模式下被调用。Reset最常用于在检视面板中给定一个最常用的默认值。Awake 用于在游戏开始之前初始化变量或游戏状态。在脚本整个生命周期内它仅被调用一次.Awake在所有对象被初始化之后调用，所以你可以安全的与其他对象对话或用诸如 GameObject.FindWithTag 这样的函数搜索它们。,3,Unity客户端开发,综合,技术知识
场景中多个启用的 Camera 同时存在会发生什么？需要注意什么？,多个启用的 Camera 会各自按深度（Depth）与 Clear Flags 依次渲染到目标显示缓冲；可组合主相机+UI相机等。需注意性能（多遍渲染）、深度排序与哪些相机渲染到同一目标，避免重复绘制与排序错误。,2,Unity客户端开发,综合,场景题
运行时如何销毁 UnityEngine.Object 及其子类实例？,Destroy(obj)；编辑器立即需求用 DestroyImmediate。,2,Unity客户端开发,综合,技术知识
