题目,答案要点,难度,相关岗位,标签,题目类型
混合 char/short/int 的表达式里，整型提升会怎样影响结果？如何逐步推演？,小类型先提升；unsigned/signed 混用易出意外比较；逐步写出每步类型并用边界用例验证。,2,Unity客户端开发,综合,技术知识
改写比较条件后结果可能如何变化？面试如何推演？,符号性、溢出与提升规则会变分支；用显式类型与用例测试。,2,Unity客户端开发,综合,技术知识
结构体成员一般如何排布？什么是对齐与填充？,按声明顺序满足对齐，可能插入 padding；pack 影响 ABI。,2,Unity客户端开发,内存,场景题
匿名结构体与复合字面量混用时，用 printf 读字段可能看到什么？为何？,可能垃圾值或平台相关结果；未初始化/别名/对齐问题导致 UB。,2,Unity客户端开发,综合,项目经历深挖
面试里为何常出「刁钻」内存布局或别名题？想考察什么？,考察内存模型、对齐、别名、UB 与验证方法。,2,Unity客户端开发,综合,技术知识
遇到 UB 或平台相关结果，工程上如何验证与规避？,ASan/MSan/UBSan、警告与复现；代码上避免 UB、显式初始化。,2,Unity客户端开发,综合,技术知识
声明「int a」时，标识符、类型与存储类各指什么？,int 为类型，a 为名字；可带 static 等存储期；定义才分配。,2,Unity客户端开发,综合,项目经历深挖
对含 age、name 等成员的结构体赋值时，在对象表示与对齐上要注意什么？,对齐与尾填充；缓冲溢出；隐式特殊成员。,2,Unity客户端开发,综合,行为题
未初始化读或违规别名后，为何读数可能「反直觉」？,UB、数据竞争或非规范访问。,2,Unity客户端开发,综合,场景题
一次函数调用在栈上通常保存哪些信息？,返回地址、帧指针、参数、局部、callee-saved 寄存器等（依 ABI）。,2,Unity客户端开发,内存,场景题
连续/嵌套调用时栈帧如何伸缩？递归过深会怎样？,push/pop 调用链；递归过深栈溢出。,2,Unity客户端开发,综合,技术知识
"调用 func(a,&b) 时，参数与返回地址按常见调用约定如何传递？",参数进寄存器/栈，保存返回地址，建立被调栈帧；细节因 ABI 而异。,2,Unity客户端开发,内存,场景题
为何有时「按引用传参」却没改掉调用方变量？,传了值、引用绑临时、const&/重载误解等。,2,Unity客户端开发,综合,技术知识
什么情况会导致同一块内存被 delete/free 两次？如何防范？,双所有权、异常路径双释放等；唯一所有权与智能指针。,2,Unity客户端开发,综合,场景题
当 API 需要 shared_ptr 而手上只有裸指针或 weak_ptr 上下文时，怎样安全传入？,从既有 shared_ptr 传递或 weak.lock()；勿对同裸指针重复 make_shared；确认控制块唯一。,2,Unity客户端开发,综合,技术知识
weak_ptr 除打破 shared_ptr 环外还有哪些用途？,观察存活、临时提升延长生命期；缓存与回调防循环引用。,2,Unity客户端开发,综合,项目经历深挖
面试官问「Unity 碰撞器与触发器区别」时，如何结构化回答？,结论：碰撞阻挡+碰撞回调，触发器只回调；条件：Collider、Rigidbody、Layer；性能：Profiler 看 Physics。,1,Unity客户端开发,物理,场景题
Animation.CrossFade 是什么？在性能敏感模块如何落地与验证？,Legacy 过渡 API；控时长与分层；现代多用 Animator；Profiler 验证。,2,Unity客户端开发,综合,行为题
PlayerPrefs 读写整型常用哪些 API？有何坑？,SetInt/GetInt 等；刷盘、无加密、平台限制；敏感数据勿用。,2,Unity客户端开发,综合,场景题
手游客户端语境下如何简述 .NET 与 Mono？,规范 vs 实现；Unity 历史用 Mono；现代多 IL2CPP；JIT/AOT 边界。,2,Unity客户端开发,综合,行为题
如何对比堆、栈，并联系 Unity 托管堆？,栈帧自动；原生堆 malloc/new；托管堆 GC；生命周期与碎片不同。,1,Unity客户端开发,内存,场景题
「这段代码会有什么问题」类题如何用 Profiler 验证？,先指问题点，再用 CPU/GC/Physics 对比修复前后，配复现场景。,2,Unity客户端开发,综合,行为题
Unity 常见光源类型及适用场景？,方向光、点光、聚光、区域光（视管线）；移动端控数量与阴影。,2,Unity客户端开发,综合,场景题
同场景多 Camera 会怎样？如何控性能？,多 Pass 绘制叠加；Depth/Clear/分层与 Frame Debugger。,2,Unity客户端开发,综合,行为题
如何让 GameObject 在切换场景后仍存在？,DontDestroyOnLoad；常驻场景；注意重复实例与泄漏。,2,Unity客户端开发,综合,场景题
什么是 Lightmap？与实时光如何配合？,烘焙到第二 UV；动对象用 Probe；混合光照调参。,1,Unity客户端开发,综合,行为题
把物体标为 Static 主要影响什么？,静态合批、光照贴图、导航等；勿误标动态物体。,2,Unity客户端开发,综合,场景题
射线检测判定碰撞的基本思路是什么？,沿射线与 Collider 求交；LayerMask 与 NonAlloc；FixedUpdate 步进。,4,Unity客户端开发,物理,行为题
导入为 Texture 与 Sprite 有何区别？,Sprite 走 2D/UGUI 与图集；Texture 偏材质采样。,1,Unity客户端开发,综合,场景题
PlayerPrefs 读写整型常用方法及局限？,SetInt/GetInt；注意默认值、键名与平台限制。,2,Unity客户端开发,综合,行为题
MipMap 是什么？对画质与内存有何影响？,多级纹理减走样与带宽；约增三分之一显存；UI 可关。,2,Unity客户端开发,综合,场景题
