题目,答案要点,难度,相关岗位,标签,题目类型
结合 Unity 项目经验，请说明「Shader与材质的关系」指什么、常见用法及注意点？,Shader 定义 GPU 程序与属性布局；Material 保存具体参数与纹理引用；一个 Shader 可多材质实例。,4,客户端TA（渲染向）,渲染,技术知识
什么是渲染管线？,从几何提交到像素输出的完整流程与策略集合；Unity 有 Built-in、URP、HDRP 及可编程 SRP。,3,客户端TA（渲染向）,渲染,技术知识
Unity 有哪些常用的渲染管线，如何挑选适合当前项目的渲染管线？,手游多用 URP（性能与可扩展）；高端写实选 HDRP；老项目维护 Built-in；看目标平台、美术流程、特效需求与团队熟悉度。,3,客户端TA（渲染向）,渲染,项目经历深挖
结合 Unity 项目经验，请说明「内置渲染管线（Built-in Render Pipeline）」指什么、常见用法及注意点？,传统 Forward/Deferred 路径；生态老插件多；新项目较少首选但维护成本低若团队熟悉。,4,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「通用渲染管线（URP）」指什么、常见用法及注意点？,可 Scriptable Renderer Feature 扩展；移动友好；与 Shader Graph 集成好。,4,客户端TA（渲染向）,渲染,项目经历深挖
结合 Unity 项目经验，请说明「高清渲染管线（HDRP）」指什么、常见用法及注意点？,物理光照与材质为主，重画质与 PC/主机；移动端受限。,4,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「自定义渲染管线（SRP）」指什么、常见用法及注意点？,继承 RenderPipeline 自行实现渲染循环；完全可控但维护成本高。,4,客户端TA（渲染向）,渲染,项目经历深挖
结合 Unity 项目经验，请说明「管线架构基础」指什么、常见用法及注意点？,SRP Batcher、Render Graph（新）、Scriptable Render Pass 组织渲染任务。,2,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「渲染流程控制」指什么、常见用法及注意点？,设置 RenderTarget、清屏、绘制顺序、后处理链；URP Renderer Feature 插入 Pass。,2,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「Shader与材质兼容」指什么、常见用法及注意点？,升级管线需重写或迁移 Shader（HLSL/SRP Batcher 关键字）；检查 Lit/Unlit 与关键词剥离。,4,客户端TA（渲染向）,渲染,行为题
结合 Unity 项目经验，请说明「性能优化」指什么、常见用法及注意点？,批处理、SRP Batcher、GPU Instancing、遮挡剔除、LOD、分辨率缩放与帧率目标。,2,客户端TA（渲染向）,综合,技术知识
结合 Unity 项目经验，请说明「创建管线资产与实例」指什么、常见用法及注意点？,Project 中创建 URP/HDRP Asset 与 Renderer Data，Graphics 设置里指定；多相机可不同 Stack。,2,客户端TA（渲染向）,渲染,技术知识
结合 Unity 项目经验，请说明「实现渲染管线类」指什么、常见用法及注意点？,继承 RenderPipeline 实现 Render()；调度 Culling、Draw、CommandBuffer；与相机与灯光数据对接。,4,客户端TA（渲染向）,渲染,技术知识
如何从内置渲染管线迁移到URP/HDRP？,用升级向导与材质转换工具；重写自定义 Shader；检查后期处理与光照设置；分阶段验证画质与性能。,4,客户端TA（渲染向）,渲染,技术知识
结合项目经验说明「当一个细小的高速物体撞向另一个较大的物体时，会出现什么情况?如何避免?」时，容易踩坑的点有哪些？,易出现隧道效应（Tunneling）穿模：离散时间步过大时薄片/高速体会跨过碰撞体。避免：Rigidbody 设 Continuous Dynamic/Speculative、缩小时步、简化碰撞体、限速或射线预检。验证：Physics Debugger + 慢动作复现；大物体静态碰撞体+小物体动态刚体组合常见。,2,客户端TA（渲染向）,综合,技术知识
若面试官追问「Animation和Animator的区别」的实现或原理细节，你会从哪些角度展开说明？,Animation（Legacy）偏直接播放 AnimationClip；Animator + Mecanim 用状态机、参数、BlendTree、层与 Avatar 重定向。新项目复杂角色用 Animator；简单序列或老资源可能仍见 Animation。迁移注意事件、曲线与根运动差异。,1,客户端TA（渲染向）,动画,项目经历深挖
结合项目经验说明「面向对象的三大特点」时，容易踩坑的点有哪些？,封装、继承、多态；结合 Unity 讲组件组合优于深继承、接口解耦、虚方法成本。坑：过度继承树、在 Update 里多态碎片化导致虚调用与 GC；ScriptableObject/事件总线折中。,3,客户端TA（渲染向）,综合,技术知识
若面试官追问「For，foreach，Enumerator.MoveNext的使用，与内存消耗情况」的实现或原理细节，你会从哪些角度展开说明？,从数据结构与算法复杂度入手；说明调用路径是否在主线程、是否与引擎 API/Unity 生命周期耦合。对比替代方案与权衡（内存、CPU、GC、平台差异）；结合项目说明限制条件与调试手段（Profiler、日志、单元测试）。,1,客户端TA（渲染向）,内存,项目经历深挖
结合项目经验说明「为什么dynamic font 在 unicode环境下优于 staticfont（字符串编码）」时，容易踩坑的点有哪些？,动态字体按需生成字形纹理，Unicode 字符集大时省内存；静态字体预烘焙图集，固定字符集包体可预测。坑：动态字体首次显示卡顿与图集扩容；静态字体缺字回退策略。,2,客户端TA（渲染向）,综合,技术知识
若面试官追问「Unity3D中的碰撞器和触发器的区别？」的实现或原理细节，你会从哪些角度展开说明？,Collider 参与物理求解产生碰撞与摩擦力；IsTrigger 只做重叠检测，不产生物理反弹。消息：OnCollision* 与 OnTrigger*；触发器通常需至少一方带 Rigidbody（依具体设置）。选用原则：实体阻挡用碰撞体，区域判定用触发器。,1,客户端TA（渲染向）,物理,项目经历深挖
结合项目经验说明「GPU的工作原理？」时，容易踩坑的点有哪些？,说明需求边界与资源生命周期（加载/卸载/热更）；注意主线程与异步边界、线程安全。评估包体、内存峰值与加载时序；列出你项目里为这些问题做的防护与回滚策略。,5,客户端TA（渲染向）,综合,技术知识
若面试官追问「alpha blend工作原理?」的实现或原理细节，你会从哪些角度展开说明？,颜色混合：dst = srcRGB * srcA + dstRGB * (1-srcA)（常见非预乘）。须按从远到近或排序绘制透明物体；与 ZWrite、RenderQueue 强相关。预乘 Alpha 与 Blend 模式要一致，否则边缘发黑或透。,4,客户端TA（渲染向）,综合,项目经历深挖
结合项目经验说明「矩阵相乘的意义及注意点？」时，容易踩坑的点有哪些？,矩阵相乘表示变换复合：模型→世界→视图→投影链依次作用顶点。注意乘法顺序与列主序存储；法线用逆转置；面试易混点是把投影与透视除法分开理解。,2,客户端TA（渲染向）,综合,技术知识
若面试官追问「Unity中，照相机的Clipping Planes的作用是什么?调整 Near、Far两个值时，应该注意什么?」的实现或原理细节，你会从哪些角度展开说明？,Near/Far 定义视锥深度裁剪范围；过小 Near 会加剧深度冲突（Z-fighting），过大 Far 降低深度精度。实践中按场景尺度收紧 Far、适度提高 Near；分屏/多相机各自设置。,2,客户端TA（渲染向）,综合,项目经历深挖
结合项目经验说明「简述四元数的作用，四元数对欧拉⻆的优点？」时，容易踩坑的点有哪些？,说明需求边界与资源生命周期（加载/卸载/热更）；注意主线程与异步边界、线程安全。评估包体、内存峰值与加载时序；列出你项目里为这些问题做的防护与回滚策略。,1,客户端TA（渲染向）,综合,技术知识
若面试官追问「在物体发生碰撞的整个过程 中，有几个阶段，分别列出对 应的函数 三个阶段」的实现或原理细节，你会从哪些角度展开说明？,典型三阶段：OnCollisionEnter → OnCollisionStay → OnCollisionExit（触发器对应 OnTrigger*）。在 FixedUpdate 物理步内触发；需双方碰撞体、Layer 允许，且满足 Rigidbody 规则。,2,客户端TA（渲染向）,物理,项目经历深挖
结合项目经验说明「Animation.CrossFade 是什么？」时，容易踩坑的点有哪些？,说明需求边界与资源生命周期（加载/卸载/热更）；注意主线程与异步边界、线程安全。评估包体、内存峰值与加载时序；列出你项目里为这些问题做的防护与回滚策略。,2,客户端TA（渲染向）,综合,技术知识
若面试官追问「UDP/TCP含义，区别」的实现或原理细节，你会从哪些角度展开说明？,TCP：面向连接、可靠有序、有流量控制，适合账号、支付、强一致状态。UDP：无连接、尽力而为、低延迟，适合实时位置、语音；需自建丢包与顺序策略。Unity 侧注意主线程派发、粘包半包与序列化成本。,1,客户端TA（渲染向）,网络,项目经历深挖
