题目,答案要点,难度,相关岗位,标签,题目类型
服务端渲染SSR,SSR（Server-Side Rendering）是指在Node.js服务器上运行React/Vue代码，将组件预先渲染成HTML字符串后发送给浏览器。这种方式有利于SEO（爬虫可以直接抓取到内容），并且能显著减少首屏白屏时间（FCP），提升用户体验。同构应用还需要在客户端进行Hydration以接管交互。,4,全栈开发/Node.js开发,Node.js、浏览器、SSR、真题-阿里,技术知识
介绍路路由的history,history是React-Router底层的核心库。它提供了三种管理会话历史的实现：browserHistory（基于HTML5 History API，表现为正常的URL）、hashHistory（基于URL的hash变化，兼容性好但URL带#）、memoryHistory（将会话存储在内存中，多用于非浏览器环境如React Native）。,2,web前端开发,前端基础、真题-阿里,技术知识
介绍Redux数据流的流程,Redux遵循单向数据流机制。视图（View）通过触发动作（Action）来发起状态变更请求；动作被派发给Reducer；Reducer是一个纯函数，根据当前的状态（State）和接收到的动作返回一个新的状态；Store更新状态后通知订阅的视图进行重新渲染。,3,web前端开发,React、Redux、真题-阿里,技术知识
Redux如何实现多个组件之间的通信，多个组件使⽤用相同状态如何进⾏行行管理理？,Redux提供了一个全局唯一的状态树（Store）。多个组件都可以通过connect高阶组件或useSelector Hook订阅Store中的状态。当某个组件触发Action改变了状态，Store会更新全局数据，所有订阅了该相同状态的组件都会自动接收到新数据并触发重新渲染。,2,web前端开发,React、Redux、真题-阿里,技术知识
多个组件之间如何拆分各⾃自的state，每块⼩小的组件有⾃自⼰己的状态，它们之间还有⼀一些公共的状态需要维护，如何思考这块？,组件内部的UI交互状态（如弹窗显示、表单输入）应作为局部状态留在组件内部维护（如使用useState）。跨组件共享的业务数据（如用户信息、购物车数据）应提取到全局Redux Store中。在Redux中，可使用combineReducers将不同模块的全局状态进行拆分管理。,2,web前端开发,前端基础、真题-阿里,技术知识
使⽤用过的Redux中间件,常用的Redux中间件有redux-thunk和redux-saga。redux-thunk允许Action Creator返回一个函数而不是对象，从而在函数内部执行异步操作（如发请求）后再派发真正的Action。redux-saga则基于Generator实现，通过监听Action来统一管理复杂的异步副作用，代码更易测试。,3,web前端开发,React、Node.js、Redux、中间件、真题-阿里,技术知识
如何解决跨域的问题？,常见跨域解决方案包括：CORS（后端配置Access-Control-Allow-Origin等请求头允许跨域）、JSONP（利用script标签没有跨域限制的特点，仅支持GET请求）、Nginx反向代理（前端请求同源代理服务器，由代理转发请求到目标服务器）以及开发阶段使用的Webpack DevServer Proxy。,3,web前端开发/后端开发,计算机网络、跨域、真题-阿里,技术知识
常⻅见Http请求头,常见HTTP请求头有：Accept（客户端可接受的内容类型）、Content-Type（请求体的数据格式，如application/json）、Authorization（携带认证凭证如Token）、User-Agent（发起请求的客户端信息）、Cookie（携带会话信息）、Referer（表示请求的来源页面）等。,2,web前端开发/后端开发,计算机网络、HTTP、真题-阿里,技术知识
移动端适配1px的问题,移动端高分屏下，CSS的1px会显示得很粗。常见解决方案是使用伪元素（::after）加上transform: scaleY(0.5)（对于上下边框）或scale(0.5)缩放处理。也可以使用SVG图片、通过JavaScript检测设备像素比（dpr）动态设置缩放（如手淘的flexible方案已不推荐处理1px）。,2,web前端开发,CSS、真题-阿里,技术知识
介绍flex布局,Flexbox（弹性盒子）布局是一种一维布局模型，极大地简化了页面元素的排列和对齐。容器通过设置display: flex开启，内部项目可按行或列排列（flex-direction），支持灵活的主轴对齐（justify-content）、交叉轴对齐（align-items）以及空间的按比例分配（flex-grow等）。,2,web前端开发,CSS、Flex、真题-阿里,技术知识
其他css⽅方式设置垂直居中,除了Flex布局的align-items: center，其他方式包括：使用Grid布局（align-items: center或place-items: center）；对于已知高度的元素，使用绝对定位配合负margin-top；对于未知高度，使用绝对定位配合transform: translateY(-50%)；单行文本还可以使用line-height等于高度。,3,web前端开发,CSS、真题-阿里,技术知识
居中为什什么要使⽤用transform（为什什么不不使⽤用marginLeft/Top）,"使用margin-left/top进行百分比偏移是相对于父元素的宽度计算的，计算往往不准确。而transform: translate(-50%, -50%)是相对于元素自身的宽高进行偏移的，不需要知道元素的具体尺寸。此外，transform触发GPU硬件加速，不会引起页面的重排（Reflow），性能更好。",3,web前端开发,CSS、真题-阿里,技术知识
使⽤用过webpack⾥里里⾯面哪些plugin和loader？,常用的Loader：babel-loader（转换ES6+及JSX）、css-loader/style-loader（解析并注入CSS）、less/sass-loader（编译预处理器）、file-loader（处理文件）。常用的Plugin：HtmlWebpackPlugin（生成HTML并注入脚本）、MiniCssExtractPlugin（提取CSS为单独文件）、CleanWebpackPlugin（清理构建目录）、DefinePlugin（注入全局变量）。,2,web前端开发,工程化、Webpack、真题-阿里,技术知识
webpack⾥里里⾯面的插件是怎么实现的？,"Webpack插件是一个具有apply方法的JavaScript类。apply方法接收Webpack的compiler对象。插件通过在compiler对象上挂载的各个生命周期钩子（如compilation, emit等）注册回调函数。当Webpack构建运行到对应阶段时，会触发这些回调，从而实现对构建过程的自定义控制和资源修改。",2,web前端开发,工程化、Webpack、真题-阿里,技术知识
dev-server是怎么跑起来？,webpack-dev-server内部使用express启动一个本地服务器，并结合webpack-dev-middleware将webpack编译打包后的文件存放在内存中，以提供快速读取。同时，它向客户端注入一段WebSocket客户端代码，当webpack监听到文件变化并重新编译后，通过WebSocket通知客户端进行模块热替换（HMR）或页面刷新。,2,web前端开发,前端基础、真题-阿里,技术知识
master挂了了的话pm2怎么处理理7. 如何和MySQL进⾏行行通信8. React声明周期及⾃自⼰己的理理解9. 如何配置React-Router10. 路路由的动态加载模块11. 服务端渲染SSR12. 介绍路路由的history13. 介绍Redux数据流的流程14. Redux如何实现多个组件之间的通信，多个组件使⽤用相同状态如何进⾏行行管理理15. 多个组件之间如何拆分各⾃自的state，每块⼩小的组件有⾃自⼰己的状态，它们之间还有⼀一些公共的状态需要维护，如何思考这块16. 使⽤用过的Redux中间件17. 如何解决跨域的问题18. 常⻅见Http请求头19. 移动端适配1px的问题20. 介绍flex布局21. 其他css⽅方式设置垂直居中22. 居中为什什么要使⽤用transform（为什什么不不使⽤用marginLeft/Top）23. 使⽤用过webpack⾥里里⾯面哪些plugin和loader24. webpack⾥里里⾯面的插件是怎么实现的25. dev-server是怎么跑起来26. 项⽬目优化？,（包含多个问题的汇总）PM2是Node.js应用的进程管理工具，支持负载均衡和自动重启。若master进程挂掉，PM2的守护进程会自动将其重启。PM2还可以监控内存和CPU占用。而与MySQL通信通常通过mysql2或ORM工具（如Sequelize、TypeORM）建立连接池进行SQL操作。,3,全栈开发/Node.js开发,React、CSS、Node.js、计算机网络、浏览器、真题-阿里,技术知识
抽取公共⽂文件是怎么配置的？,在Webpack 4及以上版本中，通过配置optimization.splitChunks来实现公共文件的抽取。可以设置chunks: 'all'来作用于所有模块，配置cacheGroups将来自node_modules的第三方库提取为一个vendors.js文件，将多个页面共用的业务组件提取为一个common.js文件，以充分利用浏览器缓存。,3,web前端开发,前端基础、真题-阿里,技术知识
项⽬目中如何处理理安全问题？,前端常见的安全防范包括：防御XSS（跨站脚本攻击），主要通过对用户输入内容进行过滤或转义，React/Vue默认对插值进行了转义处理；防御CSRF（跨站请求伪造），通常通过请求时携带验证Token或设置Cookie的SameSite属性来实现；此外，还应避免在源码中硬编码敏感信息（如API密钥）。,5,web前端开发,前端安全、真题-阿里,场景题
怎么实现this对象的深拷⻉贝？,实现对象的深拷贝最简单的方式是JSON.parse(JSON.stringify(obj))，但该方法无法处理函数、Date、RegExp、循环引用等特殊情况。更完善的做法是自己手写一个递归拷贝函数，并在内部使用WeakMap来记录已拷贝的对象以解决循环引用问题；或者直接使用第三方库如lodash的cloneDeep方法。,5,web前端开发,JavaScript、this、真题-阿里,技术知识
介绍redux，主要解决什什么问题,Redux是一个用于JavaScript应用的可预测状态管理容器。它主要解决的是在复杂应用中跨组件状态共享和管理的问题。通过将状态集中存储在一个全局的单一Store中，并强制通过纯函数Reducer和触发Action来修改状态，保证了状态变化的可预测性和可追溯性，避免了繁琐的组件层层传参（Props Drilling）。,2,web前端开发,React、Redux、真题-网易,技术知识
⽂文件上传如何做断点续传？,文件断点续传主要通过文件分片（Chunking）来实现。在前端，利用File API的slice方法将大文件切割成多个小的数据块；然后逐个或并发将分片上传到服务器，每次上传需携带分片的索引。如果网络中断，再次上传时先请求服务器获取已成功上传的分片索引，前端仅继续上传剩余的分片。最后服务器将所有分片合并为完整文件。,2,web前端开发,前端基础、真题-网易,技术知识
表单可以跨域吗？,表单提交是可以跨域的。因为表单提交（如GET或POST请求）虽然会发送跨域请求，但它不会像Ajax（XHR/Fetch）那样受到同源策略中“禁止读取跨域响应”的严格限制。表单提交后，浏览器通常会直接跳转到目标URL或刷新页面，由于前端无法通过JavaScript拦截和读取跨域提交的响应结果，因此不构成跨域资源读取的安全威胁。,3,web前端开发/后端开发,计算机网络、跨域、真题-网易,技术知识
promise、async有什什么区别？,Promise是ES6引入的用于处理异步操作的对象，通过.then()和.catch()链式调用来避免回调地狱；而async/await是ES8引入的基于Promise的语法糖。async函数返回一个Promise，在函数内部使用await可以暂停代码执行，直到Promise解决（resolve），使得异步代码的写法更接近同步代码，逻辑更清晰，错误捕获（使用try/catch）也更符合常规习惯。,3,web前端开发,JavaScript、Promise、真题-网易,技术知识
搜索请求如何处理理（防抖）？,在处理搜索输入框的请求时，为了避免用户每次键入都触发网络请求导致性能下降，通常采用防抖（Debounce）技术。防抖的原理是：在事件被触发后等待一段特定时间（如300ms），如果在这段时间内事件没有再次被触发，才执行请求逻辑；如果这段时间内事件再次被触发，则重新计时。这样保证了连续的高频输入只会在输入暂停时发送一次请求。,3,web前端开发,JavaScript、防抖、真题-网易,场景题
搜索请求中⽂文如何请求？,在搜索请求中，如果包含中文字符，需要使用encodeURIComponent函数对中文进行URL编码（转换成UTF-8字节的十六进制格式，如%E4%B8%AD%E6%96%87）。这是因为URL标准规范仅允许使用特定的ASCII字符，直接发送中文字符可能会导致浏览器解析错误或服务器接收到乱码。后端接收到请求后会自动解码或使用相应的解码函数恢复为中文。,2,web前端开发,前端基础、真题-网易,技术知识
介绍观察者模式,观察者模式定义了对象间的一对多的依赖关系。当一个对象（被观察者/Subject）的状态发生改变时，所有依赖于它的对象（观察者/Observer）都会得到通知并被自动更新。在前端，Vue的数据响应式原理底层就应用了观察者模式（通过Dep收集Watcher，当数据变化时Dep通知所有Watcher进行更新）。,4,web前端开发,前端基础、观察者模式、真题-网易,技术知识
介绍中介者模式,中介者模式通过引入一个中介对象来封装一系列对象之间的交互。使得原本紧密耦合、相互引用的各个对象不需要显式地相互引用，而是统一通过中介者进行通信，从而实现松耦合。这种模式适用于当多个对象之间存在复杂的网状交互关系时，将其转化为星型结构，提高了代码的可维护性和扩展性。,2,web前端开发,前端基础、真题-网易,技术知识
观察者和订阅-发布的区别，各⾃自⽤用在哪⾥里里？,观察者模式中，观察者和被观察者是互相知道的，被观察者直接维护观察者列表并触发通知，耦合度相对较高，常用于组件内部的状态响应（如Vue的响应式系统）。而发布-订阅模式引入了中间的“事件通道”（Event Channel/Broker），发布者和订阅者互不感知，完全解耦，常用于跨组件或跨模块的全局事件通信（如EventBus、Redux的派发与订阅）。,2,web前端开发,前端基础、真题-网易,技术知识
介绍react优化,React常见性能优化包括：1. 减少不必要的渲染，使用React.memo、PureComponent或shouldComponentUpdate；2. 使用useMemo和useCallback缓存计算结果和函数引用；3. 列表渲染必须提供唯一且稳定的key；4. 路由组件懒加载（React.lazy + Suspense）；5. 避免在渲染中频繁创建新对象；6. 利用并发模式（useTransition）降低渲染优先级。,5,web前端开发,React、性能优化、真题-网易,技术知识
介绍http2.0,HTTP/2是对HTTP/1.1的重大升级。它的核心特性包括：1. 二进制分帧：数据以二进制帧而非文本形式传输，解析更高效；2. 多路复用（Multiplexing）：允许通过单一TCP连接并发交错发送多个请求和响应，解决了队头阻塞问题；3. 头部压缩（HPACK）：大幅减少请求头的体积；4. 服务器推送（Server Push）：服务器主动向客户端推送后续资源。,3,web前端开发,前端基础、HTTP2、真题-网易,技术知识
通过什什么做到并发请求,并发请求可以通过原生API或第三方库实现。最常见的方式是利用Promise.all将多个Promise对象包装在一起，浏览器会同时发起这些网络请求，当所有请求都resolve后才返回结果。如果需要限制最大并发数，可以通过自定义的并发控制池（利用递归或异步队列机制）来调度请求的执行。,3,web前端开发,前端基础、真题-网易,技术知识
http1.1时如何复⽤用tcp连接？,在HTTP/1.1中，通过在HTTP请求头和响应头中设置Connection: keep-alive来实现TCP连接的复用（持久连接）。这表示在完成一次请求/响应后，底层的TCP连接不会立即关闭，而是保持打开状态一段时间，以便后续的HTTP请求可以继续复用这同一条TCP连接，从而减少了TCP三次握手和慢启动带来的时间开销。,4,web前端开发/后端开发,计算机网络、TCP、真题-网易,技术知识
介绍service worker,Service Worker是运行在浏览器背后的独立线程，独立于网页，不能直接访问DOM。它主要用作网络请求的代理服务器。它能够拦截页面发出的网络请求并根据策略返回缓存数据，是实现PWA（渐进式Web应用）、离线访问、后台数据同步和消息推送的核心技术。出于安全考虑，使用时必须在HTTPS环境下运行。,3,web前端开发,前端基础、Service Worker、真题-网易,技术知识
介绍css3中position:sticky,position: sticky（粘性定位）是相对定位和固定定位的结合体。在元素在屏幕视口中滚动到特定阈值（如top: 0）之前，它表现为相对定位，随着文档流正常滚动；一旦达到该阈值，它就“粘”在视口的指定位置，表现得像固定定位，直到其父元素的边界滚动出视口。非常适合实现表头或侧边栏的吸顶效果。,2,web前端开发,前端基础、position、真题-网易,技术知识
redux请求中间件如何处理理并发？,Redux中间件如redux-saga擅长处理并发。在redux-saga中，可以使用takeEvery并发处理每个派发的Action；如果希望取消之前的请求只保留最新的，可以使用takeLatest。此外，还可以使用all并发执行多个异步任务，或者使用race来竞速多个任务，从而实现细粒度的并发控制和请求防抖。,4,web前端开发,React、Node.js、Redux、中间件、真题-网易,场景题
介绍Promise，异常捕获,Promise是处理异步编程的对象，有pending、fulfilled和rejected三种状态。异常捕获通常有两种方式：1. 在.then()的第二个回调参数中处理；2. 使用.catch()在Promise链的末尾统一捕获前方任何一个环节抛出的错误。推荐使用.catch()以保证代码整洁和错误不被遗漏，在async/await中则使用try...catch结构包裹。,3,web前端开发,JavaScript、Promise、真题-网易,技术知识
介绍position属性包括CSS3新增,CSS定位属性position主要包括：static（默认，遵循正常文档流）、relative（相对自身正常位置偏移，不脱离文档流）、absolute（相对最近非static祖先元素定位，脱离文档流）、fixed（相对浏览器视口定位，脱离文档流）。CSS3新增了sticky（粘性定位），在达到指定阈值前表现为relative，之后表现为fixed。,2,web前端开发,前端基础、position、真题-网易,技术知识
浏览器器事件流向,浏览器DOM事件流分为三个阶段：1. 捕获阶段（Capture Phase）：事件从Window对象自上而下向目标元素传播；2. 目标阶段（Target Phase）：事件到达并触发目标元素上的监听器；3. 冒泡阶段（Bubble Phase）：事件从目标元素自下而上向Window对象反向传播。通过addEventListener的第三个参数可控制在捕获或冒泡阶段触发监听器。,2,web前端开发/后端开发,浏览器、真题-网易,技术知识
介绍事件代理理以及优缺点,事件代理利用事件冒泡机制，将子元素的事件监听器绑定在父元素上。优点：减少了内存消耗，因为不需要为每个子元素单独绑定事件；对动态添加或删除的子元素同样生效，无需重新绑定。缺点：要求事件必须支持冒泡（如focus、blur不支持）；如果代理层级过深或逻辑判断复杂，可能会带来轻微的性能损耗。,2,web前端开发,前端基础、真题-网易,行为题
React组件中怎么做事件代理理？,在React中，开发者不需要手动在DOM层面进行事件代理。React自身实现了一套合成事件（SyntheticEvent）机制。开发者只需像写内联事件一样在JSX中绑定事件（如onClick），React会在底层统一收集这些事件处理函数，并将实际的事件监听器代理到应用的根DOM节点上进行统一管理和分发。,2,web前端开发,React、真题-网易,技术知识
React组件事件代理理的原理理,React事件代理的原理在于：它不在真实的DOM节点上绑定原生事件，而是在应用的根节点（React 17+是root container）上绑定少量的全局事件监听器。当真实DOM事件触发并冒泡到根节点时，React拦截事件，将其包装为兼容性好的合成事件，然后根据组件树模拟捕获和冒泡过程，找到对应JSX中声明的回调并执行。,4,web前端开发,React、真题-网易,技术知识
介绍this各种情况,this的指向在函数调用时确定：1. 默认绑定：非严格模式独立调用指向全局对象（window），严格模式为undefined；2. 隐式绑定：作为对象方法调用，指向调用该方法的对象；3. 显式绑定：使用call、apply、bind强制指定this；4. new绑定：通过构造函数调用，指向新创建的实例；5. 箭头函数：继承自定义时外层作用域的this。,3,web前端开发,JavaScript、this、真题-网易,技术知识
前端怎么控制管理理路路由？,前端路由管理依靠监听URL变化并在不刷新页面的情况下更新视图。主要有两种方式：1. Hash模式：监听hashchange事件，URL带#，兼容性极佳；2. History模式：利用HTML5的history.pushState/replaceState方法改变URL，并监听popstate事件，URL更美观但需要后端配置支持。React-Router和Vue-Router基于此实现。,2,web前端开发,前端基础、真题-网易,技术知识
使⽤用路路由时出现问题如何解决？,常见路由问题及解决：1. History模式下刷新404：因为浏览器直接请求了该前端路由，需配置Nginx或Node将找不到的请求重定向到index.html；2. 路由参数更新但组件不渲染：在Vue中可给<router-view>加key，在React中可将参数作为useEffect依赖项；3. 动态加载路由时出现白屏：配合Suspense设置加载中的Fallback UI。,3,web前端开发,前端基础、真题-网易,技术知识
React怎么做数据的检查和变化？,React通过setState（类组件）或useState/useReducer（函数组件）触发状态变化。对于传入的数据，可以使用PropTypes库进行运行时的Props类型检查，或结合TypeScript进行严格的静态类型检查。当状态变化时，React利用Virtual DOM和Diff算法对比新旧虚拟树差异，最后将变化高效地打补丁同步到真实DOM上。,4,web前端开发,React、真题-网易,技术知识
react-router怎么实现路路由切换？,React-Router底层依赖于history库。Hash模式通过监听hashchange事件捕获URL中hash的变化；History模式通过调用HTML5的history.pushState或replaceState改变URL，并监听popstate事件捕获返回/前进操作。URL变化后，对应的路由状态被更新，触发React组件树的重新匹配和渲染，实现无刷新切换。,2,web前端开发,React、真题-滴滴,技术知识
react-router⾥里里的<Link>标签和<a>标签有什什么区别？,<a>标签是原生HTML元素，点击会向服务器发送请求并刷新页面。而React-Router的<Link>标签在内部渲染为<a>标签，但通过事件代理拦截了点击事件（调用e.preventDefault()），阻止了默认跳转。随后，它通过内部的history对象改变URL，触发组件树的重新渲染，实现单页应用（SPA）的无刷新跳转。,2,web前端开发,React、真题-滴滴,技术知识
<a>标签默认事件禁掉之后做了了什什么才实现了了跳转,禁用<a>标签默认事件后，代码会调用HTML5 History API（如pushState/replaceState）或修改location.hash更新浏览器地址栏。接着，React-Router内部的状态管理器（订阅了路径变化）会监听到URL改变，更新上下文中保存的当前路径，触发根组件重新渲染，显示目标路由组件。,2,web前端开发,前端基础、真题-滴滴,技术知识
React层⾯面的性能优化,React层面的性能优化主要包括：1. 避免不必要的渲染（使用React.memo，useMemo，useCallback，PureComponent）；2. 合理使用key帮助高效复用DOM节点；3. 代码分割和懒加载（React.lazy + Suspense）；4. 使用Fragment减少多余DOM层级；5. 批量更新状态（React 18自动批处理）。,3,web前端开发,React、性能优化、真题-滴滴,技术知识
整个前端性能提升⼤大致分⼏几类,前端性能提升大致可分为三类：1. 网络加载层面（减小体积、CDN加速、HTTP/2多路复用、Gzip压缩、懒加载、SSR）；2. 浏览器渲染层面（减少DOM操作和层级、避免频繁重排重绘、使用GPU硬件加速如transform、虚拟列表优化长列表）；3. JavaScript执行层面（防抖节流、避免内存泄漏、Web Worker卸载繁重任务）。,4,web前端开发,性能优化、真题-滴滴,技术知识
import { Button } from 'antd'，打包的时候只打包button，分模块加载，是怎么做到的？,这种效果称为按需加载。早期主要通过配置babel-plugin-import插件来实现。该插件会在编译阶段将全量引入语法转换为引入具体组件和样式的路径（如antd/lib/button），从而只打包使用的模块。现在antd v4及以上版本天然支持基于ES Module的Tree Shaking，借助Webpack的静态分析能力也能自动剔除未使用的代码。,3,web前端开发,工程化、import、真题-滴滴,技术知识
使⽤用import时，webpack对node_modules⾥里里的依赖会做什什么,使用import引入node_modules中的依赖时，Webpack首先根据包的解析规则（如package.json中的main/module字段）定位入口文件；接着对其进行依赖收集形成AST；如果是ES Module格式，还会通过Tree Shaking标记并剔除未被使用的导出代码；最后根据配置（如SplitChunksPlugin）将第三方依赖单独打包为vendor文件以便缓存。,3,全栈开发/Node.js开发,Node.js、工程化、Webpack、import、真题-滴滴,技术知识
JS异步解决⽅方案的发展历程以及优缺点,发展历程：1. 回调函数：最早方案，易导致回调地狱，代码难维护且错误难捕获；2. Promise：ES6引入，通过链式调用解决回调地狱，提供更好的错误处理，但仍有大量.then()；3. Generator：支持挂起和恢复执行，但需要执行器驱动；4. async/await：基于Promise的语法糖，使异步代码如同步般清晰，目前最优雅。,3,web前端开发,前端基础、真题-滴滴,行为题
Http报⽂文的请求会有⼏几个部分,HTTP请求报文主要包含四个部分：1. 请求行（Request Line），包含请求方法（如GET、POST）、请求URI和HTTP版本；2. 请求头（Request Headers），包含若干键值对，用于传递客户端信息和请求属性；3. 空行（Blank Line），用来分隔请求头和请求体；4. 请求体（Request Body），携带提交的数据（GET通常无请求体）。,2,web前端开发/后端开发,计算机网络、HTTP、真题-滴滴,技术知识
cookie放哪⾥里里，cookie能做的事情和存在的价值,Cookie存放在客户端的浏览器中（内存中的会话Cookie或硬盘中的持久Cookie）。它的价值在于弥补HTTP协议的无状态性，主要用于：1. 会话状态管理（用户登录、购物车）；2. 个性化设置保存（用户偏好）；3. 浏览器行为跟踪。每次请求自动携带Cookie，是维持客户端和服务器连接状态的重要机制。,2,web前端开发,前端基础、Cookie、真题-滴滴,技术知识
cookie和token都存放在header⾥里里⾯面，为什什么只劫持前者,CSRF攻击利用了浏览器发起跨域请求时自动携带目标网站Cookie的特性。黑客诱导用户访问恶意页面并发送请求，浏览器自动带上Cookie（含登录态），导致身份被盗用。而Token（如JWT）通常需要开发者手动将其放入请求头（如Authorization）中发送，浏览器不会自动携带，因此能有效防御CSRF攻击。,3,web前端开发,前端基础、Cookie、Token、真题-滴滴,技术知识
cookie和session有哪些⽅方⾯面的区别？,1. 存储位置：Cookie数据存放在客户端，Session数据存放在服务器端。2. 安全性：Cookie明文传输，易被截获伪造；Session保存在服务器，相对安全。3. 性能：Cookie每次请求都发送，影响网络性能；Session占用服务器内存，并发量大时加重负担。4. 大小限制：单个Cookie一般限制约4KB，Session无严格限制。,3,web前端开发,前端基础、Cookie、真题-滴滴,技术知识
React中Dom结构发⽣生变化后内部经历了了哪些变化？,当状态变化时，React首先会调用render函数生成一棵新的虚拟DOM树。随后，React通过Diff算法比较这棵新树和旧虚拟DOM树，找出发生变化的部分（调和过程，Reconciliation）。最后，React会把这些变化生成一个补丁对象（Patch），并在提交阶段（Commit Phase）一次性高效地应用到真实DOM上。,4,web前端开发,React、HTML、项目经验、DOM、真题-滴滴,技术知识
React挂载的时候有3个组件，textComponent、composeComponent、domComponent，区别和关系，Dom结构发⽣生变化时怎么区分data的变化，怎么更更新，更更新怎么调度，如果更更新的时候还有其他任务存在怎么处理理？,在早期React中组件分文本、复合和DOM组件；在新Fiber架构下统一为Fiber节点。当结构变化时，React通过比对Fiber节点的key和type区分变化。更新调度基于requestIdleCallback机制，过程是可中断的。如果浏览器有更高优先级任务（如交互），React会暂停渲染，让出主线程，空闲时再恢复更新。,5,web前端开发,React、HTML、DOM、真题-滴滴,技术知识
