"题目","答案要点","难度","相关岗位","标签","题目类型"
"GC 的「终结」阶段与 __gc 元方法有何关系？","不可达对象若带 __gc，不会立刻释放，先入终结队列；GC 在收尾阶段逆序调用 __gc，可能复活对象，故需谨慎使用避免引用环与性能抖动。","4","Unity客户端（热更/脚本向）","GC","行为题"
"从工程角度，Lua GC 调优要关注哪些风险？","过大单次步进卡顿、过小步进内存高；__gc 与热更卸载顺序导致悬挂引用；与 C 扩展交互时非法指针；弱表与终结器打乱预期生命周期。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"如何向面试官概括 Lua 增量 GC 的工作流程？","根出发标记；与用户代码交替推进；写屏障防漏标；原子阶段收口；清扫回收；可选终结器。目标是平衡吞吐与停顿。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"Lua 中的元表（metatable）和元方法（metamethod）是什么？","元表是附属于 table/userdata 的表，键为事件名如 __add、__index；定义重载行为。面向对象、运算符重载、只读代理都靠元表。","2","Unity客户端（热更/脚本向）","Lua","场景题"
"__index 与 __newindex 在读写字段时如何分工？","读缺键走 __index（表或函数）；写新键走 __newindex，可拦截赋值或转发。二者配合可做属性系统与数据绑定。","1","Unity客户端（热更/脚本向）","综合","技术知识"
"热更新策略选型时你会从哪些维度向面试官展开？","平台合规、包体与 CDN 成本、首启体验、弱网容错、回滚与灰度、资源与代码是否分离、团队维护成本（Lua 栈 vs 纯 C# 热更）。","2","Unity客户端（热更/脚本向）","Lua","技术知识"
"若让你设计一条 AssetBundle 资源热更流水线，你会如何描述关键步骤？","资源打标签 → BuildAssetBundles 出包与 manifest → 生成版本与 MD5 清单上传 CDN → 客户端比对下载 → 校验 → LoadFromFile 按依赖加载 → 业务取资源 → 空闲时 Unload(false) 与 UnloadUnusedAssets。","2","Unity客户端（热更/脚本向）","Lua","场景题"
"AssetBundle 在热更新体系里承担什么角色？关键工程步骤有哪些？","AB 是可版本化的资源容器，便于增量替换与内存管理。步骤：构建、依赖解析、版本发布、客户端下载校验、运行时加载与卸载、监控重复加载与泄漏。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"编辑器侧如何把资源正确打进 AssetBundle？","为资源设 AssetBundle 名（与变体）；用 AssetBundleBuild 列出 asset 路径与 bundle 名；调用 BuildPipeline.BuildAssetBundles(output, builds, options)；检查 manifest 与冗余。","2","Unity客户端（热更/脚本向）","AssetBundle","技术知识"
"热更资源上传服务器时通常要附带哪些校验信息？","文件 MD5/CRC、版本号、平台分支、压缩方式、依赖关系；支持断点续传与 CDN 缓存刷新策略。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"客户端下载 AB 后如何安全加载并实例化？","先校验哈希；LoadFromFile/Async 得 AssetBundle；LoadAsset 得 Asset；Instantiate 若需要；记录引用以便卸载；依赖 AB 必须先加载。","2","Unity客户端（热更/脚本向）","AssetBundle","场景题"
"何时使用 AssetBundle.Unload(false)？要注意什么？","仅需释放 AB 头与序列化信息、保留已加载资源实例时用 false；但若之后再 Load 同路径可能产生重复资源副本，需统一用引用计数或地址化避免双份内存。","2","Unity客户端（热更/脚本向）","内存","项目经历深挖"
"请概括Unity AssetBundle热更新从下载到加载在项目中的端到端完整流程？","与「设计热更流水线」同脉络：构建—发布—客户端差量—校验—加载—监控卸载；强调 manifest 与依赖优先。","1","Unity客户端（热更/脚本向）","Lua","技术知识"
"若配置表用 Protobuf，如何做「热更新」？","将 .bytes 或序列化后的配置随 AB/独立文件下发；客户端用运行时解析（protobuf-net 等）生成内存对象；版本兼容靠字段号 reserved、新增可选字段；大表可分块加载或懒加载。","2","Unity客户端（热更/脚本向）","网络","场景题"
"Unity 物理碰撞从进入到分离，常见分哪几个阶段？对应哪些回调？","碰撞体（非 Trigger）：CollisionEnter → Stay → Exit；触发器：OnTriggerEnter/Stay/Exit。检测与解算主要在 FixedUpdate 物理步；需双方 Collider、至少一侧 Rigidbody（或角色控制器规则）且层碰撞矩阵允许。","2","Unity客户端（热更/脚本向）","物理","技术知识"
"Unity 中 Avatar（人形动画映射）主要解决什么问题？追问时应如何展开？","将骨骼重定向到 Humanoid 骨架，使不同模型共用动画；含 muscle 限制与 T-Pose 等。展开：导入 Rig 设置、骨骼映射、IK/根运动、与 Animator Controller 复用、非 Humanoid 回退 Generic。","2","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"在不同 Unity 工程间迁移 Asset，有哪些相对稳妥的做法？各自注意什么？","Unity Package 导出再导入；直接拷贝 Assets 子目录并带 meta；用 .unitypackage。注意 GUID 与 meta 必须成对否则引用丢失；插件与脚本定义冲突；版本与渲染管线差异。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"C# 反射的实现原理大致是什么？追问时如何讲清？","元数据表（类型、成员、特性）存于程序集；RuntimeType/MemberInfo 等封装查询；调用经 DynamicMethod 或委托绑定，慢于直接调用。展开：Assembly 加载、GetType、BindingFlags、IL2CPP 下裁剪与 AOT 限制。","4","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"C#结构体（struct）与类（class）有何核心区别？请结合Unity开发场景举例说明？","struct 值类型，通常栈分配（字段逃逸时也会装箱或堆分配）；class 引用类型，恒在堆。struct 适合小型不可变大块数据（如坐标）；Mutable struct 易踩坑。Unity 中组件必是 class。","1","Unity客户端（热更/脚本向）","综合","技术知识"
"请简述C#反射的工作原理，以及在Unity项目中使用反射时有哪些性能注意事项？","查元数据得 MemberInfo，Invoke 走解释或动态生成 IL；应缓存 MemberInfo、避免热路径反射；IL2CPP 用 link.xml 防止裁剪。","5","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"TCP/IP 分层模型中各层职责是什么？与游戏客户端关系最大的是哪几层？","链路/网络/传输/应用（或五层模型）。游戏关注传输层（TCP/UDP 时延与可靠）与应用层协议设计；安全可加 TLS；底层 IP 路由由 OS 处理。","2","Unity客户端（热更/脚本向）","内存","技术知识"
"Unity 脚本从唤醒到销毁，常见生命周期函数顺序如何？哪些会反复触发？","Awake（启用即调，即使未激活组件在创建时）→ OnEnable → Start（首帧前）→ FixedUpdate/Update/LateUpdate → OnDisable → OnDestroy。OnEnable/OnDisable 可随激活反复；Awake 每实例一次。","3","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"Unity 是否支持多线程？使用时要注意什么？","支持托管线程，但绝大多数 UnityEngine API 须在主线程调用。后台线程可做纯计算、IO、网络缓冲；回主线程用 SynchronizationContext 或主线程队列。Job System/Burst 有数据并行模型。注意竞争与死锁。","4","Unity客户端（热更/脚本向）","综合","技术知识"
"Unity 常见光源类型有哪些？各适合什么场景？","Directional（太阳）、Point（点光）、Spot（聚光）、Area（区域光，视管线）。移动端控制实时光数量与阴影；静态部分烘焙 Lightmap/Probe。","2","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"如何让 GameObject 在切换场景后仍然保留？","DontDestroyOnLoad 挂在根对象；或单独持久场景；注意静态引用泄漏与重复单例；Addressables/自定义资源管理可替代旧 LoadLevel 流程。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"面试时如何有条理地介绍你用过的 Unity 插件？","按领域列举（UI、热更、动画、性能分析等），每个说清解决什么问题、集成方式、踩坑（版本、IL2CPP、包体）、是否可替代。避免只报名字。","4","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"用 Unity 做 2D 游戏有哪些常见技术路线？","正交相机 + SpriteRenderer/Tilemap；UGUI Canvas；3D 压平做伪 2D。选型影响物理（2D/3D）、合批、像素完美与排序。","2","Unity客户端（热更/脚本向）","综合","技术知识"
"跨Unity工程迁移Asset有哪几种常见做法？各自有什么风险和注意事项？","unitypackage；直接拷贝 Assets+meta；导出为 Package。风险：GUID 断裂、同名冲突、管线与宏定义不一致、第三方插件授权。","2","Unity客户端（热更/脚本向）","综合","项目经历深挖"
"什么是 Lightmap？实时灯光与烘焙如何配合？","Lightmap 将静态光照烘焙到第二张 UV 的贴图，运行时采样减实时光开销；动态物体用 Light Probe 近似间接光；混合模式可平衡质量与性能。","1","Unity客户端（热更/脚本向）","综合","技术知识"
"xLua 等方案里 C# 与 Lua 互调时，面试常问的注意点有哪些？","通过封装好的栈操作与类型检查在宿主与 VM 间传值；委托与 Lua 函数绑定要配对释放防泄漏；避免在 Lua 侧长期持有已 Destroy 的 Unity 对象；热更卸载时要解绑事件；GC 两侧可能交错，需关注全局表与 package.loaded 清理。","3","Unity客户端（热更/脚本向）","Lua","技术知识"
