题目,答案要点,难度,相关岗位,标签,题目类型
广度优先搜索（BFS）如何用队列实现？如何按层输出？,起点入队，逐层弹出扩展邻居并入队，标记访问；按层可在每层开始时记录队列 size 一次性处理。,3,Unity客户端（通用基础）,综合,技术知识
深度优先搜索（DFS）与 BFS 在应用场景上如何取舍？,DFS 用栈/递归，适合路径、连通、回溯；BFS 求最短步数（边权相等）；图大时注意递归栈深改显式栈。,2,Unity客户端（通用基础）,综合,场景题
请再次说明：求斐波那契第 n 项的稳妥实现方式。,迭代 O(n) 或矩阵快速幂 O(log n)；避免裸递归；注意类型溢出与 n 合法性校验。,2,Unity客户端（通用基础）,综合,技术知识
分析一段涉及字符串拼接与截取的操作会产生多少临时对象（以 C# 为例）。,"string 不可变，ToUpper/+/Substring 都会产生新串；第一行 new string(""abc"") 在 C# 中非法字面，应写 new string(new char[]{...}) 或直接 ""abc""；典型链式调用会多次分配。",2,Unity客户端（通用基础）,综合,技术知识
如何判断平面上一点 P 是否在直线 AB 所在的无限直线上（不含端点限制）？,向量 AP 与 AB 叉积为 0 共线；浮点用 epsilon 或 Mathf.Approximately；再限制在矩形包围盒内可判断线段上。,3,Unity客户端（通用基础）,综合,项目经历深挖
如何判断点 P 是否在线段 AB 上（不含延长线）？,"先叉积判共线，再判断 P 的坐标落在 A、B 各坐标 min/max 闭区间内；3D 可先投影到主平面或用参数 t∈[0,1]。",3,Unity客户端（通用基础）,综合,技术知识
面试时如何结构化回答「Image 与 RawImage 的区别」？,结论：Sprite 管线 vs 任意纹理；要点：合批、材质、UV、交互；坑：RawImage 改纹理实例化、图集与动态图切换成本。,1,Unity客户端（通用基础）,UI,场景题
「简述进程、线程与协程」在 Unity 客户端语境下如何联系性能验证来讲？,进程隔离，线程共享地址空间，协程是协作式非抢占；Unity 主线程跑引擎 API；多线程算数据后回主线程应用；用 Profiler 看主线程负载与 Job 完成点。,2,Unity客户端（通用基础）,协程,行为题
面试时如何回答「值类型与引用类型区别」并落到 Unity 实践？,分配位置、拷贝语义、默认可空性；struct 误用大对象装箱；引用相等 vs 值相等；结合组件引用与栈分配 blittable 数据。,3,Unity客户端（通用基础）,综合,场景题
函数里反复 string+= 产生 GC，如何优化与如何验证？,改 StringBuilder 或插值复用、分段输出；减少 ToString；Profiler GC Alloc 与 Deep Profile 定位；真机分档对比帧时间。,2,Unity客户端（通用基础）,内存,行为题
如何对比 String 与 StringBuilder 的适用场景？,少量固定拼接可用 string 插值；循环或大量拼接用 StringBuilder 并预设容量；大字符串注意 ToString 仍有一次分配。,1,Unity客户端（通用基础）,综合,场景题
物体发生碰撞需要满足哪些条件？如何用 Profiler 验证相关开销？,双方有 Collider，至少一方 Rigidbody（或角色控制器规则），非 kinematic 与触发器条件区分；物理在 FixedUpdate；Profiler 看 Physics 时间与调用次数。,2,Unity客户端（通用基础）,物理,行为题
面试时如何回答「Unity 实现 2D 的几种方式」？,正交相机+SpriteRenderer/Tilemap；UI Canvas；3D 压平；各方式对像素完美、物理 2D、合批的影响。,2,Unity客户端（通用基础）,综合,场景题
两种常见阴影（本影与半影）指什么？实时阴影验证要关注什么？,本影完全无光照区域，半影部分受光；引擎里看阴影贴图分辨率、级联、距离与静态/动态烘焙混合；Profiler 与 Overdraw。,4,Unity客户端（通用基础）,综合,行为题
细小高速物体穿透碰撞应如何从算法与引擎参数上回答？,连续碰撞检测 CCD、减小 Fixed Timestep、加厚碰撞体、射线预判；Unity 中 Rigidbody 碰撞模式与插值设置。,2,Unity客户端（通用基础）,综合,场景题
Unity 中组件引用「丢失」常见原因有哪些？如何用工具验证？,脚本改名/命名空间、序列化字段类型变更、Missing Script、预制体合并冲突；用编辑器报告与场景 diff；版本控制对比 YAML。,2,Unity客户端（通用基础）,综合,行为题
AddComponent 之后脚本生命周期调用顺序如何描述？,执行顺序受 Script Execution Order 影响；通常 Awake→OnEnable→Start；动态添加在同帧会立即 Awake/OnEnable；注意与依赖组件初始化次序。,2,Unity客户端（通用基础）,综合,场景题
碰撞器（Collider）与触发器（Trigger）在回调与物理表现上有什么区别？,Collider 产生物理阻挡与碰撞回调；Trigger 不产生硬碰撞，仅 OnTrigger*；二者都需 Rigidbody 一方等条件；性能上减少不必要动态碰撞体。,1,Unity客户端（通用基础）,物理,行为题
Animation 组件常见 API 有哪些可列举？,Play、CrossFade、Blend、Stop、sample 等（以 Legacy Animation 为准）；现代项目多用 Animator；答时说明版本与迁移。,2,Unity客户端（通用基础）,综合,场景题
请简述 TCP/IP 分层及各层职责，并点出与游戏客户端最相关的层。,链路、网络(IP)、传输(TCP/UDP)、应用；游戏关注传输层可靠/时延与应用层协议设计；可提 TLS 在安全通道的位置。,2,Unity客户端（通用基础）,网络,行为题
